ap,ap_nf,emp,emp_nf,empflag,est,fipstate,year
0,D,0,D,B,3,1,2011
1772,H,43,H,,3,4,2011
0,D,0,D,B,2,5,2011
126957,G,2541,G,,61,6,2011
0,D,0,D,B,4,8,2011
9304,H,150,H,,7,9,2011
0,D,0,D,B,1,10,2011
0,D,0,D,F,16,12,2011
0,D,0,D,A,2,13,2011
0,D,0,D,A,2,16,2011
38430,G,646,H,,14,17,2011
0,D,0,D,F,5,18,2011
0,D,0,D,A,1,19,2011
0,D,0,D,B,2,20,2011
0,D,0,D,C,2,21,2011
0,D,0,D,B,3,22,2011
0,D,0,D,C,1,24,2011
12241,H,272,H,,10,25,2011
2521,G,77,G,,5,26,2011
0,D,0,D,A,2,27,2011
0,D,0,D,E,5,28,2011
0,D,0,D,B,3,29,2011
0,D,0,D,A,1,30,2011
0,D,0,D,C,3,31,2011
0,D,0,D,B,3,32,2011
0,D,0,D,A,1,33,2011
20223,H,388,G,,12,34,2011
0,D,0,D,A,2,35,2011
26123,H,560,H,,15,36,2011
0,D,0,D,G,4,37,2011
46477,H,741,H,,15,39,2011
0,D,0,D,B,2,40,2011
2401,H,36,G,,3,41,2011
0,D,0,D,F,12,42,2011
0,D,0,D,B,1,44,2011
0,D,0,D,E,4,45,2011
2625,H,0,S,B,6,47,2011
26044,G,485,H,,18,48,2011
1073,H,0,S,B,6,49,2011
0,D,0,D,E,5,51,2011
0,D,0,D,C,4,53,2011
0,D,0,D,G,10,55,2011
0,D,0,D,B,3,1,2010
1933,H,0,S,B,3,4,2010
0,D,0,D,B,3,5,2010
132276,G,2498,G,,63,6,2010
0,D,0,D,B,5,8,2010
8181,H,0,S,C,7,9,2010
0,D,0,D,B,2,10,2010
0,D,0,D,E,16,12,2010
0,D,0,D,A,2,13,2010
0,D,0,D,A,2,16,2010
18175,H,272,H,,14,17,2010
0,D,0,D,F,6,18,2010
0,D,0,D,B,2,20,2010
0,D,0,D,B,2,21,2010
0,D,0,D,B,2,22,2010
0,D,0,D,C,2,24,2010
14401,G,290,G,,11,25,2010
3266,H,101,H,,4,26,2010
0,D,0,D,A,1,27,2010
0,D,0,D,E,6,28,2010
0,D,0,D,B,3,29,2010
0,D,0,D,C,3,31,2010
0,D,0,D,B,3,32,2010
0,D,0,D,A,1,33,2010
17703,H,393,G,,14,34,2010
0,D,0,D,A,2,35,2010
28580,H,587,H,,18,36,2010
0,D,0,D,G,4,37,2010
0,D,0,D,A,1,38,2010
26644,H,361,H,,14,39,2010
2152,H,0,S,B,3,40,2010
2999,H,56,G,,6,41,2010
0,D,0,D,G,14,42,2010
0,D,0,D,A,1,44,2010
14854,G,392,G,,5,45,2010
2288,H,0,S,B,5,47,2010
37051,G,700,H,,20,48,2010
1190,H,0,S,B,7,49,2010
0,D,0,D,E,4,51,2010
0,D,0,D,C,4,53,2010
0,D,0,D,F,10,55,2010
0,D,0,D,B,3,1,2009
11524,H,184,H,,5,4,2009
0,D,0,D,B,3,5,2009
148583,G,3418,G,,60,6,2009
0,D,0,D,B,4,8,2009
12972,H,0,S,C,9,9,2009
0,D,0,D,B,2,10,2009
0,D,0,D,E,17,12,2009
0,D,0,D,B,4,13,2009
0,D,0,D,A,2,16,2009
18849,H,351,G,,15,17,2009
0,D,0,D,F,5,18,2009
0,D,0,D,B,2,20,2009
0,D,0,D,B,2,21,2009
0,D,0,D,B,3,22,2009
0,D,0,D,C,2,24,2009
15706,G,374,G,,11,25,2009
3639,H,121,H,,4,26,2009
0,D,0,D,C,2,27,2009
0,D,0,D,E,7,28,2009
0,D,0,D,B,3,29,2009
0,D,0,D,A,1,30,2009
0,D,0,D,E,3,31,2009
0,D,0,D,B,3,32,2009
0,D,0,D,A,1,33,2009
15866,H,401,G,,14,34,2009
0,D,0,D,A,2,35,2009
0,D,0,D,F,16,36,2009
0,D,0,D,G,4,37,2009
0,D,0,D,A,1,38,2009
54443,H,949,H,,16,39,2009
4813,H,157,G,,5,40,2009
3509,G,75,H,,4,41,2009
0,D,0,D,G,14,42,2009
0,D,0,D,B,2,44,2009
16305,G,424,G,,6,45,2009
2221,H,0,S,B,4,47,2009
57096,G,1287,G,,22,48,2009
2287,H,49,H,,6,49,2009
0,D,0,D,E,4,51,2009
0,D,0,D,C,5,53,2009
0,D,0,D,F,9,55,2009
0,D,0,D,B,3,1,2008
13885,H,211,H,,6,4,2008
0,D,0,D,B,3,5,2008
178837,G,3987,G,,61,6,2008
0,D,0,D,B,5,8,2008
0,D,0,D,C,10,9,2008
0,D,0,D,B,1,10,2008
0,D,0,D,F,13,12,2008
0,D,0,D,B,4,13,2008
185,H,0,S,A,4,16,2008
18810,H,356,G,,15,17,2008
4595,H,120,H,,6,18,2008
0,D,0,D,B,2,20,2008
0,D,0,D,B,2,21,2008
0,D,0,D,B,3,22,2008
0,D,0,D,C,2,24,2008
18618,G,432,G,,11,25,2008
3837,H,120,H,,4,26,2008
0,D,0,D,C,3,27,2008
0,D,0,D,F,6,28,2008
0,D,0,D,B,3,29,2008
0,D,0,D,A,1,30,2008
0,D,0,D,E,3,31,2008
0,D,0,D,C,3,32,2008
0,D,0,D,A,1,33,2008
18120,H,382,H,,16,34,2008
0,D,0,D,A,2,35,2008
12834,H,342,H,,16,36,2008
0,D,0,D,G,4,37,2008
0,D,0,D,A,1,38,2008
51107,G,1106,G,,16,39,2008
5488,H,130,H,,4,40,2008
4251,G,85,H,,5,41,2008
0,D,0,D,G,14,42,2008
0,D,0,D,B,2,44,2008
0,D,0,D,E,4,45,2008
2462,H,0,S,B,4,47,2008
71380,G,1289,G,,21,48,2008
2816,H,73,G,,7,49,2008
0,D,0,D,F,4,51,2008
5609,H,125,H,,5,53,2008
0,D,0,D,F,8,55,2008
0,D,0,D,A,2,1,2007
25304,G,479,G,,11,4,2007
0,D,0,D,B,2,5,2007
209404,G,4804,G,,61,6,2007
468,G,0,S,A,4,8,2007
11191,H,0,S,E,10,9,2007
0,D,0,D,B,1,10,2007
0,D,0,D,E,13,12,2007
603,H,0,S,A,3,13,2007
0,D,0,D,A,1,16,2007
29788,H,687,H,,17,17,2007
0,D,0,D,F,5,18,2007
0,D,0,D,F,1,19,2007
0,D,0,D,B,3,20,2007
0,D,0,D,C,1,21,2007
0,D,0,D,B,3,22,2007
0,D,0,D,C,2,24,2007
16994,H,363,H,,12,25,2007
0,D,0,D,E,5,26,2007
0,D,0,D,C,5,27,2007
0,D,0,D,F,6,28,2007
0,D,0,D,B,3,29,2007
11002,H,302,H,,4,31,2007
0,D,0,D,C,3,32,2007
0,D,0,D,C,2,33,2007
18058,H,429,H,,18,34,2007
0,D,0,D,A,2,35,2007
47214,G,1266,G,,24,36,2007
0,D,0,D,G,4,37,2007
0,D,0,D,A,1,38,2007
41651,G,1084,G,,14,39,2007
2616,H,62,G,,3,40,2007
3707,G,0,S,B,7,41,2007
0,D,0,D,F,13,42,2007
0,D,0,D,B,1,44,2007
14798,G,385,G,,4,45,2007
0,D,0,D,A,1,46,2007
7155,H,175,G,,3,47,2007
70179,G,1341,G,,20,48,2007
3601,G,40,H,,5,49,2007
0,D,0,D,E,2,50,2007
0,D,0,D,C,2,51,2007
0,D,0,D,A,1,53,2007
0,D,0,D,A,1,54,2007
0,D,0,D,F,8,55,2007
0,-,0,-,A,1,1,2006
28665,-,509,-,,14,4,2006
0,-,0,-,B,3,5,2006
207251,-,4782,-,,60,6,2006
714,-,22,-,,4,8,2006
0,-,0,-,E,9,9,2006
0,-,0,-,B,2,10,2006
0,-,0,-,E,12,12,2006
0,-,0,-,B,4,13,2006
0,-,0,-,A,2,16,2006
38763,-,616,-,,20,17,2006
25131,-,730,-,,5,18,2006
0,-,0,-,F,1,19,2006
0,-,0,-,C,3,20,2006
0,-,0,-,C,1,21,2006
0,-,0,-,B,3,22,2006
0,-,0,-,C,2,24,2006
0,-,0,-,C,8,25,2006
11099,-,327,-,,6,26,2006
9152,-,204,-,,6,27,2006
22233,-,739,-,,6,28,2006
0,-,0,-,B,4,29,2006
8275,-,236,-,,3,31,2006
0,-,0,-,C,4,32,2006
0,-,0,-,C,2,33,2006
20009,-,475,-,,18,34,2006
0,-,0,-,A,2,35,2006
0,-,0,-,G,23,36,2006
47071,-,1047,-,,6,37,2006
0,-,0,-,A,1,38,2006
45287,-,1152,-,,14,39,2006
2556,-,67,-,,3,40,2006
0,-,0,-,B,5,41,2006
25106,-,530,-,,11,42,2006
0,-,0,-,B,1,44,2006
0,-,0,-,E,4,45,2006
0,-,0,-,C,2,47,2006
57129,-,1338,-,,17,48,2006
0,-,0,-,C,7,49,2006
0,-,0,-,C,2,50,2006
0,-,0,-,C,2,51,2006
0,-,0,-,A,1,53,2006
27452,-,740,-,,8,55,2006
0,-,0,-,A,1,1,2005
21020,-,395,-,,10,4,2005
0,-,0,-,B,2,5,2005
200422,-,5021,-,,65,6,2005
0,-,0,-,B,4,8,2005
0,-,0,-,E,10,9,2005
0,-,0,-,B,2,10,2005
0,-,0,-,E,13,12,2005
0,-,0,-,B,2,13,2005
0,-,0,-,B,2,16,2005
0,-,0,-,F,19,17,2005
26110,-,873,-,,6,18,2005
0,-,0,-,F,1,19,2005
0,-,0,-,B,3,20,2005
0,-,0,-,B,3,22,2005
0,-,0,-,C,2,24,2005
0,-,0,-,C,7,25,2005
11291,-,312,-,,6,26,2005
0,-,0,-,F,8,27,2005
0,-,0,-,F,5,28,2005
0,-,0,-,B,4,29,2005
7483,-,229,-,,3,31,2005
0,-,0,-,C,3,32,2005
0,-,0,-,C,2,33,2005
20294,-,468,-,,18,34,2005
0,-,0,-,A,2,35,2005
38217,-,1051,-,,23,36,2005
0,-,0,-,G,6,37,2005
0,-,0,-,A,1,38,2005
48820,-,1181,-,,14,39,2005
0,-,0,-,B,2,40,2005
0,-,0,-,B,5,41,2005
25283,-,580,-,,11,42,2005
0,-,0,-,B,1,44,2005
0,-,0,-,E,5,45,2005
0,-,0,-,C,2,47,2005
46646,-,989,-,,16,48,2005
0,-,0,-,C,7,49,2005
0,-,0,-,C,2,50,2005
50338,-,629,-,,4,51,2005
0,-,0,-,A,2,53,2005
0,-,0,-,A,1,54,2005
26294,-,753,-,,8,55,2005
21619,-,403,-,,8,4,2004
0,-,0,-,B,2,5,2004
214121,-,4945,-,,67,6,2004
0,-,0,-,B,5,8,2004
0,-,0,-,E,11,9,2004
0,-,0,-,B,2,10,2004
0,-,0,-,E,12,12,2004
0,-,0,-,B,4,13,2004
0,-,0,-,A,2,16,2004
0,-,0,-,F,17,17,2004
0,-,0,-,F,6,18,2004
0,-,0,-,F,1,19,2004
0,-,0,-,B,3,20,2004
0,-,0,-,B,2,22,2004
0,-,0,-,C,2,24,2004
0,-,0,-,E,8,25,2004
12206,-,352,-,,9,26,2004
34141,-,725,-,,8,27,2004
0,-,0,-,F,5,28,2004
0,-,0,-,C,3,29,2004
0,-,0,-,C,3,31,2004
0,-,0,-,C,4,32,2004
0,-,0,-,C,2,33,2004
21396,-,503,-,,19,34,2004
35939,-,1000,-,,23,36,2004
0,-,0,-,G,6,37,2004
0,-,0,-,A,1,38,2004
66703,-,1592,-,,17,39,2004
0,-,0,-,B,3,40,2004
0,-,0,-,B,5,41,2004
0,-,0,-,F,11,42,2004
0,-,0,-,B,1,44,2004
0,-,0,-,E,5,45,2004
0,-,0,-,C,2,47,2004
25567,-,672,-,,15,48,2004
0,-,0,-,C,7,49,2004
0,-,0,-,C,2,50,2004
0,-,0,-,F,3,51,2004
0,-,0,-,A,2,53,2004
26268,-,742,-,,7,55,2004
0,-,0,-,A,1,1,2003
0,-,0,-,C,9,4,2003
0,-,0,-,B,2,5,2003
157549,-,4543,-,,62,6,2003
0,-,0,-,B,7,8,2003
0,-,0,-,E,10,9,2003
0,-,0,-,B,2,10,2003
8460,-,299,-,,13,12,2003
652,-,17,-,,5,13,2003
0,-,0,-,A,2,16,2003
25543,-,782,-,,16,17,2003
0,-,0,-,F,4,18,2003
0,-,0,-,F,1,19,2003
0,-,0,-,B,2,20,2003
0,-,0,-,B,3,22,2003
0,-,0,-,C,2,24,2003
0,-,0,-,C,7,25,2003
9892,-,309,-,,7,26,2003
33634,-,684,-,,9,27,2003
0,-,0,-,F,4,28,2003
0,-,0,-,C,3,29,2003
0,-,0,-,A,1,30,2003
5920,-,174,-,,3,31,2003
0,-,0,-,C,3,32,2003
0,-,0,-,E,3,33,2003
21467,-,508,-,,20,34,2003
31952,-,921,-,,24,36,2003
0,-,0,-,G,7,37,2003
0,-,0,-,A,1,38,2003
59844,-,1623,-,,17,39,2003
0,-,0,-,B,2,40,2003
0,-,0,-,C,7,41,2003
20374,-,553,-,,11,42,2003
0,-,0,-,B,1,44,2003
0,-,0,-,E,4,45,2003
0,-,0,-,C,2,47,2003
26382,-,681,-,,18,48,2003
0,-,0,-,C,7,49,2003
0,-,0,-,C,2,50,2003
22992,-,661,-,,4,51,2003
0,-,0,-,A,2,53,2003
23018,-,763,-,,8,55,2003
0,-,0,-,E,3,33,2002
0,-,0,-,C,2,50,2002
12889,-,270,-,,6,25,2002
3075,-,72,-,,3,44,2002
7974,-,252,-,,9,9,2002
0,-,0,-,F,22,36,2002
20690,-,450,-,,15,34,2002
18140,-,554,-,,11,42,2002
39871,-,1244,-,,17,39,2002
18099,-,657,-,,5,18,2002
0,-,0,-,F,20,17,2002
0,-,0,-,C,3,26,2002
44976,-,1297,-,,9,55,2002
0,-,0,-,E,4,27,2002
0,-,0,-,F,1,19,2002
0,-,0,-,B,2,29,2002
0,-,0,-,A,1,38,2002
0,-,0,-,A,1,31,2002
0,-,0,-,A,1,20,2002
0,-,0,-,B,2,10,2002
0,-,0,-,B,2,24,2002
26689,-,745,-,,4,51,2002
0,-,0,-,G,6,37,2002
0,-,0,-,E,4,45,2002
0,-,0,-,E,3,13,2002
0,-,0,-,G,10,12,2002
0,-,0,-,C,2,21,2002
0,-,0,-,E,3,47,2002
0,-,0,-,F,3,28,2002
0,-,0,-,A,1,5,2002
0,-,0,-,B,1,40,2002
38154,-,1039,-,,22,48,2002
0,-,0,-,A,1,30,2002
0,-,0,-,A,2,16,2002
0,-,0,-,A,3,8,2002
14721,-,313,-,,5,4,2002
0,-,0,-,C,6,49,2002
0,-,0,-,A,1,32,2002
3658,-,87,-,,4,53,2002
0,-,0,-,B,6,41,2002
146357,-,4059,-,,64,6,2002
0,-,0,-,A,1,1,2001
0,-,0,-,E,5,4,2001
0,-,0,-,A,1,5,2001
149321,-,4375,-,,68,6,2001
0,-,0,-,A,2,8,2001
0,-,0,-,E,8,9,2001
0,-,0,-,B,1,10,2001
52199,-,1228,-,,12,12,2001
0,-,0,-,E,3,13,2001
0,-,0,-,A,2,16,2001
