ap,ap_nf,emp,emp_nf,empflag,est,fipstate,year
0,D,0,D,C,12,1,2011
0,D,0,D,A,1,2,2011
0,D,0,D,C,9,4,2011
1161,G,51,H,,11,5,2011
18479,H,410,G,,27,6,2011
2521,H,0,S,B,9,8,2011
545,H,16,G,,6,9,2011
0,D,0,D,A,1,10,2011
0,D,0,D,E,27,12,2011
5187,G,175,H,,22,13,2011
0,D,0,D,B,5,15,2011
679,G,23,G,,3,16,2011
4554,H,0,S,C,13,17,2011
0,D,0,D,C,12,18,2011
0,D,0,D,B,2,19,2011
2204,G,55,H,,5,20,2011
0,D,0,D,B,5,21,2011
3211,G,121,G,,18,22,2011
0,D,0,D,B,3,23,2011
2373,H,59,G,,4,24,2011
3409,H,74,G,,8,25,2011
0,D,0,D,B,11,26,2011
2605,H,0,S,B,9,27,2011
2668,G,90,H,,9,28,2011
3973,H,150,G,,14,29,2011
555,G,0,S,A,6,30,2011
0,D,0,D,B,3,31,2011
0,D,0,D,B,3,32,2011
0,D,0,D,B,2,33,2011
966,H,44,H,,8,34,2011
0,D,0,D,A,1,35,2011
9358,H,0,S,C,23,36,2011
5681,H,172,H,,11,37,2011
6446,H,0,S,C,15,39,2011
0,D,0,D,C,7,40,2011
2745,H,175,H,,8,41,2011
8115,H,223,G,,20,42,2011
0,D,0,D,A,2,44,2011
0,D,0,D,C,9,45,2011
0,D,0,D,A,2,46,2011
0,D,0,D,B,8,47,2011
15030,H,483,H,,38,48,2011
2808,G,78,G,,10,49,2011
0,D,0,D,A,1,50,2011
0,D,0,D,C,9,51,2011
2200,H,61,G,,10,53,2011
1740,G,49,H,,5,54,2011
1635,H,38,H,,7,55,2011
0,D,0,D,A,2,56,2011
0,D,0,D,C,12,1,2010
0,D,0,D,A,1,2,2010
0,D,0,D,B,10,4,2010
1213,G,55,G,,12,5,2010
17787,H,410,G,,32,6,2010
3035,H,85,H,,11,8,2010
551,H,0,S,A,7,9,2010
0,D,0,D,A,1,10,2010
0,D,0,D,E,28,12,2010
5484,H,158,H,,23,13,2010
1824,H,53,H,,4,15,2010
678,G,23,H,,3,16,2010
3758,H,0,S,C,12,17,2010
0,D,0,D,C,12,18,2010
0,D,0,D,B,2,19,2010
2179,G,55,G,,5,20,2010
0,D,0,D,B,5,21,2010
3076,G,103,H,,18,22,2010
0,D,0,D,B,3,23,2010
2207,H,39,G,,4,24,2010
3148,H,72,G,,7,25,2010
0,D,0,D,B,11,26,2010
2635,H,0,S,B,9,27,2010
1336,H,56,G,,10,28,2010
4091,G,116,H,,11,29,2010
483,H,20,H,,6,30,2010
0,D,0,D,B,4,31,2010
0,D,0,D,B,3,32,2010
0,D,0,D,B,2,33,2010
1034,H,0,S,B,8,34,2010
304,G,0,S,A,3,35,2010
8739,H,167,H,,23,36,2010
5667,H,0,S,C,12,37,2010
0,D,0,D,A,1,38,2010
6641,H,0,S,C,15,39,2010
0,D,0,D,B,9,40,2010
3688,G,102,G,,8,41,2010
7855,H,203,H,,19,42,2010
0,D,0,D,A,3,44,2010
0,D,0,D,B,9,45,2010
0,D,0,D,A,2,46,2010
0,D,0,D,B,8,47,2010
15254,H,481,H,,38,48,2010
2095,G,64,H,,9,49,2010
0,D,0,D,A,1,50,2010
0,D,0,D,B,10,51,2010
2964,G,71,G,,10,53,2010
1672,G,31,G,,5,54,2010
1572,H,0,S,B,7,55,2010
0,D,0,D,A,3,56,2010
0,D,0,D,C,12,1,2009
0,D,0,D,A,1,2,2009
0,D,0,D,B,9,4,2009
1805,G,67,G,,13,5,2009
17415,H,371,G,,30,6,2009
3706,H,0,S,C,11,8,2009
462,H,0,S,A,4,9,2009
0,D,0,D,A,1,10,2009
0,D,0,D,E,24,12,2009
6150,H,202,H,,24,13,2009
1812,H,0,S,B,5,15,2009
0,D,0,D,A,2,16,2009
3660,H,0,S,C,13,17,2009
0,D,0,D,C,13,18,2009
0,D,0,D,B,2,19,2009
2216,G,55,H,,6,20,2009
0,D,0,D,B,6,21,2009
3714,G,152,H,,18,22,2009
0,D,0,D,B,3,23,2009
2444,H,58,H,,4,24,2009
2929,H,66,H,,8,25,2009
0,D,0,D,B,11,26,2009
2649,H,0,S,B,8,27,2009
0,D,0,D,B,11,28,2009
3881,G,151,G,,10,29,2009
473,H,0,S,A,6,30,2009
0,D,0,D,B,5,31,2009
0,D,0,D,B,3,32,2009
0,D,0,D,B,2,33,2009
0,D,0,D,B,10,34,2009
0,D,0,D,A,4,35,2009
8310,H,142,H,,22,36,2009
6529,H,185,H,,13,37,2009
5775,H,0,S,C,17,39,2009
0,D,0,D,C,10,40,2009
0,D,0,D,B,8,41,2009
7472,H,203,H,,20,42,2009
0,D,0,D,A,3,44,2009
0,D,0,D,C,8,45,2009
0,D,0,D,A,2,46,2009
0,D,0,D,B,10,47,2009
17728,H,514,H,,39,48,2009
2026,G,81,H,,8,49,2009
0,D,0,D,A,1,50,2009
0,D,0,D,C,13,51,2009
3150,G,75,G,,11,53,2009
1583,G,45,H,,5,54,2009
1663,H,0,S,B,7,55,2009
0,D,0,D,A,2,56,2009
0,D,0,D,E,13,1,2008
0,D,0,D,A,1,2,2008
0,D,0,D,B,9,4,2008
1767,G,0,S,B,13,5,2008
30791,H,537,H,,28,6,2008
3870,H,0,S,C,10,8,2008
0,D,0,D,A,4,9,2008
0,D,0,D,A,1,10,2008
0,D,0,D,E,25,12,2008
6178,H,207,H,,24,13,2008
1761,H,0,S,B,5,15,2008
0,D,0,D,A,2,16,2008
4185,H,0,S,C,13,17,2008
0,D,0,D,C,12,18,2008
0,D,0,D,B,2,19,2008
2313,G,69,H,,8,20,2008
0,D,0,D,B,6,21,2008
3906,G,146,H,,18,22,2008
0,D,0,D,B,3,23,2008
2565,H,58,H,,4,24,2008
2869,H,73,G,,7,25,2008
0,D,0,D,B,11,26,2008
2648,H,66,H,,8,27,2008
0,D,0,D,B,12,28,2008
3857,G,150,G,,11,29,2008
401,H,0,S,A,6,30,2008
0,D,0,D,B,4,31,2008
0,D,0,D,B,3,32,2008
0,D,0,D,B,2,33,2008
0,D,0,D,B,9,34,2008
0,D,0,D,A,4,35,2008
9568,H,160,H,,23,36,2008
7287,H,195,H,,13,37,2008
6019,H,0,S,C,16,39,2008
0,D,0,D,C,9,40,2008
1565,H,51,H,,9,41,2008
8136,H,214,H,,21,42,2008
0,D,0,D,A,3,44,2008
0,D,0,D,C,7,45,2008
0,D,0,D,A,2,46,2008
2346,H,64,H,,9,47,2008
15956,H,446,H,,41,48,2008
2531,H,62,G,,9,49,2008
0,D,0,D,A,1,50,2008
0,D,0,D,C,13,51,2008
3113,G,79,G,,12,53,2008
1688,G,44,H,,5,54,2008
1650,H,49,H,,7,55,2008
0,D,0,D,A,2,56,2008
0,D,0,D,C,16,1,2007
0,D,0,D,A,1,2,2007
0,D,0,D,B,10,4,2007
1655,G,52,H,,10,5,2007
19592,G,525,G,,32,6,2007
3580,H,99,H,,9,8,2007
768,H,29,H,,7,9,2007
0,D,0,D,A,1,10,2007
0,D,0,D,E,26,12,2007
7030,H,232,H,,25,13,2007
1779,H,0,S,B,5,15,2007
695,G,23,G,,3,16,2007
6364,H,0,S,C,17,17,2007
0,D,0,D,C,12,18,2007
0,D,0,D,B,2,19,2007
2390,G,78,G,,9,20,2007
0,D,0,D,B,11,21,2007
3667,G,147,H,,17,22,2007
0,D,0,D,B,3,23,2007
2815,H,63,H,,4,24,2007
1405,G,0,S,B,4,25,2007
0,D,0,D,C,15,26,2007
2613,H,0,S,B,8,27,2007
0,D,0,D,B,12,28,2007
3504,G,123,H,,10,29,2007
