ap,ap_nf,emp,emp_nf,empflag,est,fipstate,year
0,D,0,D,C,3,1,2011
0,D,0,D,B,4,4,2011
15488,H,415,H,,4,5,2011
14934,G,312,H,,16,6,2011
0,D,0,D,A,2,8,2011
30685,H,528,G,,12,9,2011
0,D,0,D,B,2,12,2011
26098,G,483,G,,9,13,2011
0,D,0,D,H,16,17,2011
56439,H,1200,H,,15,18,2011
0,D,0,D,E,1,19,2011
0,D,0,D,B,1,20,2011
24532,H,512,H,,3,21,2011
0,D,0,D,A,1,24,2011
35505,G,663,G,,9,25,2011
26708,H,567,H,,9,26,2011
0,D,0,D,A,1,27,2011
0,D,0,D,E,2,28,2011
0,D,0,D,E,6,29,2011
0,D,0,D,A,1,30,2011
0,D,0,D,C,2,33,2011
31824,G,567,G,,8,34,2011
0,D,0,D,B,1,35,2011
107106,H,1875,G,,20,36,2011
0,D,0,D,G,9,37,2011
0,D,0,D,A,1,38,2011
61015,H,1067,H,,15,39,2011
0,D,0,D,F,2,40,2011
0,D,0,D,A,1,41,2011
75307,G,1493,G,,15,42,2011
0,D,0,D,C,3,44,2011
0,D,0,D,E,3,45,2011
0,D,0,D,B,1,46,2011
35401,H,662,H,,9,47,2011
78989,G,1626,G,,16,48,2011
0,D,0,D,B,2,49,2011
0,D,0,D,C,1,50,2011
0,D,0,D,E,3,51,2011
0,D,0,D,B,1,53,2011
0,D,0,D,C,1,54,2011
12909,H,220,H,,5,55,2011
0,D,0,D,E,4,1,2010
0,D,0,D,C,4,4,2010
23787,G,513,G,,5,5,2010
15575,G,390,G,,17,6,2010
0,D,0,D,A,1,8,2010
32138,H,536,H,,12,9,2010
0,D,0,D,A,2,12,2010
15197,H,317,H,,8,13,2010
0,D,0,D,H,16,17,2010
50040,H,1009,H,,14,18,2010
0,D,0,D,E,1,19,2010
0,D,0,D,B,1,20,2010
0,D,0,D,E,3,21,2010
0,D,0,D,A,1,24,2010
38051,G,717,G,,11,25,2010
25078,H,494,G,,8,26,2010
0,D,0,D,E,2,28,2010
0,D,0,D,E,5,29,2010
0,D,0,D,A,1,30,2010
0,D,0,D,C,2,33,2010
30811,G,500,G,,10,34,2010
99029,H,1782,G,,20,36,2010
67902,H,1316,G,,9,37,2010
0,D,0,D,A,1,38,2010
57842,H,1022,H,,14,39,2010
0,D,0,D,F,3,40,2010
0,D,0,D,A,1,41,2010
70710,G,1441,G,,15,42,2010
0,D,0,D,C,3,44,2010
0,D,0,D,E,3,45,2010
0,D,0,D,B,1,46,2010
30842,H,692,H,,8,47,2010
61301,G,1476,G,,15,48,2010
0,D,0,D,B,2,49,2010
0,D,0,D,C,1,50,2010
0,D,0,D,E,3,51,2010
