ap,ap_nf,emp,emp_nf,empflag,est,fipstate,year
1003772,G,15603,G,,107,1,2011
0,D,0,D,A,3,2,2011
133420,H,2557,H,,70,4,2011
442277,G,7355,G,,54,5,2011
796418,G,14978,G,,420,6,2011
115316,H,1919,H,,37,8,2011
201599,H,3146,H,,65,9,2011
48714,H,0,S,F,7,10,2011
170569,H,3512,H,,128,12,2011
204968,G,4444,H,,77,13,2011
0,D,0,D,A,1,15,2011
21073,G,533,G,,22,16,2011
1260559,G,20788,G,,267,17,2011
2654088,G,40409,G,,225,18,2011
404962,H,7045,H,,62,19,2011
83164,H,1730,H,,34,20,2011
758431,G,12966,G,,81,21,2011
109397,H,1966,G,,23,22,2011
0,D,0,D,E,9,23,2011
121155,H,2449,H,,31,24,2011
147839,G,2887,G,,90,25,2011
1237544,G,21801,G,,285,26,2011
340615,G,5753,G,,85,27,2011
154170,G,2951,G,,42,28,2011
332065,G,6874,G,,93,29,2011
0,D,0,D,F,20,30,2011
80095,H,1217,H,,17,31,2011
0,D,0,D,G,13,32,2011
120048,H,2349,H,,29,33,2011
251603,G,4469,G,,101,34,2011
24023,G,467,H,,20,35,2011
641561,G,10677,G,,184,36,2011
369973,H,6599,H,,89,37,2011
0,D,0,D,C,5,38,2011
2290343,G,38282,G,,404,39,2011
224821,G,4901,G,,65,40,2011
495420,H,7766,H,,58,41,2011
2403847,G,38025,G,,357,42,2011
69401,G,1226,G,,45,44,2011
340226,G,5161,G,,80,45,2011
23364,H,0,S,E,8,46,2011
514364,G,9141,G,,108,47,2011
1047319,G,19117,G,,300,48,2011
228794,G,3919,G,,47,49,2011
0,D,0,D,C,3,50,2011
240846,H,4302,H,,48,51,2011
425332,G,6569,G,,88,53,2011
347093,G,5203,G,,33,54,2011
903486,G,18054,G,,179,55,2011
4994,H,0,S,C,9,56,2011
960604,G,15392,G,,112,1,2010
0,D,0,D,A,4,2,2010
125168,H,2599,H,,69,4,2010
413299,G,7320,G,,55,5,2010
749548,G,15098,G,,436,6,2010
108811,H,1730,H,,32,8,2010
186853,H,3111,H,,67,9,2010
44797,G,0,S,F,5,10,2010
170530,H,3758,H,,132,12,2010
176086,G,3641,H,,77,13,2010
0,D,0,D,A,1,15,2010
16124,G,420,G,,25,16,2010
1190429,G,20057,G,,274,17,2010
2458070,G,37489,G,,223,18,2010
345331,H,6231,H,,59,19,2010
69607,H,1646,H,,34,20,2010
700863,G,11566,G,,82,21,2010
129541,H,2110,H,,29,22,2010
0,D,0,D,E,10,23,2010
125013,H,2446,H,,32,24,2010
150920,G,2974,G,,95,25,2010
1146570,G,19980,G,,282,26,2010
307005,G,4953,G,,83,27,2010
153326,H,2946,G,,43,28,2010
315280,G,6570,G,,100,29,2010
0,D,0,D,F,21,30,2010
60825,H,1050,H,,16,31,2010
0,D,0,D,G,12,32,2010
113315,H,2502,G,,32,33,2010
263114,G,4427,G,,107,34,2010
20270,G,411,G,,17,35,2010
586709,G,10092,G,,193,36,2010
350952,H,6586,H,,84,37,2010
3011,H,0,S,B,4,38,2010
2080111,G,36312,G,,407,39,2010
199578,G,4348,G,,65,40,2010
396570,H,7461,H,,60,41,2010
2160092,G,35968,G,,353,42,2010
75526,G,1474,G,,49,44,2010
289482,G,4849,G,,78,45,2010
20645,H,0,S,F,9,46,2010
482002,H,9080,H,,105,47,2010
893041,G,17078,G,,299,48,2010
217320,G,3598,G,,44,49,2010
0,D,0,D,C,3,50,2010
217695,H,4312,H,,52,51,2010
358691,G,6032,G,,82,53,2010
298009,G,5277,G,,31,54,2010
805414,G,15716,G,,175,55,2010
4713,H,123,H,,8,56,2010
849662,G,15458,G,,113,1,2009
0,D,0,D,A,3,2,2009
148662,H,3616,H,,69,4,2009
324144,G,7203,G,,57,5,2009
722814,G,16518,G,,447,6,2009
116141,H,1940,H,,34,8,2009
183603,H,3609,G,,76,9,2009
34508,H,580,H,,7,10,2009
171621,H,4149,H,,133,12,2009
166498,G,3912,H,,78,13,2009
0,D,0,D,A,1,15,2009
14764,G,410,G,,26,16,2009
1010294,G,20523,G,,287,17,2009
2213510,G,39850,G,,231,18,2009
307644,H,7100,H,,59,19,2009
64544,H,1793,H,,37,20,2009
720419,G,13606,G,,87,21,2009
118667,H,2446,H,,28,22,2009
0,D,0,D,E,10,23,2009
156181,H,2826,H,,30,24,2009
139393,G,3105,G,,90,25,2009
1010958,G,19641,G,,290,26,2009
242344,G,5435,G,,82,27,2009
155584,H,2852,G,,40,28,2009
316269,G,7805,G,,99,29,2009
41845,H,683,H,,22,30,2009
60825,H,1167,H,,13,31,2009
0,D,0,D,G,13,32,2009
118202,H,2788,H,,35,33,2009
256066,G,4922,G,,104,34,2009
0,D,0,D,E,18,35,2009
504446,G,9490,G,,199,36,2009
318982,H,6709,H,,87,37,2009
2855,H,0,S,B,4,38,2009
1914846,G,39412,G,,417,39,2009
191046,G,4874,G,,64,40,2009
407733,H,8487,H,,60,41,2009
1936849,G,37416,G,,357,42,2009
66858,H,1640,H,,49,44,2009
298713,G,5736,G,,79,45,2009
20582,H,591,H,,7,46,2009
452620,H,9701,H,,109,47,2009
787134,G,19267,G,,300,48,2009
195274,H,3318,H,,45,49,2009
0,D,0,D,C,3,50,2009
248294,H,5321,H,,53,51,2009
362951,G,6439,G,,84,53,2009
295601,G,5491,G,,35,54,2009
720389,G,17973,G,,173,55,2009
4777,H,128,H,,9,56,2009
979752,G,16884,G,,123,1,2008
0,D,0,D,A,4,2,2008
170646,H,3635,G,,78,4,2008
392316,G,7447,G,,64,5,2008
923684,G,19411,G,,498,6,2008
123588,H,1912,H,,35,8,2008
200361,G,3585,G,,80,9,2008
35957,H,683,H,,8,10,2008
162238,G,3616,H,,125,12,2008
179789,G,4199,G,,80,13,2008
13975,G,356,G,,28,16,2008
1410282,G,25166,G,,298,17,2008
2765001,G,45220,G,,254,18,2008
411181,H,8854,H,,76,19,2008
101923,H,2511,G,,40,20,2008
836361,G,15552,G,,91,21,2008
145797,H,2609,G,,28,22,2008
0,D,0,D,E,10,23,2008
86195,H,2969,H,,36,24,2008
170865,G,3431,G,,94,25,2008
1148258,G,22073,G,,296,26,2008
331222,G,6834,G,,87,27,2008
163234,H,3015,G,,41,28,2008
377246,G,9167,G,,103,29,2008
0,D,0,D,F,23,30,2008
113521,H,1900,H,,17,31,2008
0,D,0,D,G,16,32,2008
96203,G,2250,G,,35,33,2008
310134,G,5810,G,,112,34,2008
0,D,0,D,F,20,35,2008
613837,G,11227,G,,214,36,2008
358627,H,7190,H,,90,37,2008
3149,H,82,H,,4,38,2008
2611962,G,47447,G,,432,39,2008
273601,G,5983,G,,69,40,2008
478880,H,8844,H,,64,41,2008
2410938,G,41331,G,,384,42,2008
58234,G,1246,G,,51,44,2008
363005,G,6084,G,,82,45,2008
22187,H,0,S,F,10,46,2008
559719,H,11544,H,,117,47,2008
1088971,G,22624,G,,329,48,2008
217283,H,3784,H,,44,49,2008
9366,H,178,H,,4,50,2008
291456,H,6015,H,,57,51,2008
420381,G,7472,G,,93,53,2008
397714,G,7112,G,,42,54,2008
976152,G,20728,G,,171,55,2008
5633,H,0,S,C,8,56,2008
955179,H,17645,G,,119,1,2007
0,D,0,D,A,1,2,2007
186493,H,4334,H,,85,4,2007
399280,G,7835,G,,61,5,2007
885564,G,19807,G,,512,6,2007
119696,H,2070,H,,41,8,2007
201265,H,3853,G,,82,9,2007
28613,H,583,H,,7,10,2007
172597,H,3782,H,,133,12,2007
221363,G,5492,G,,90,13,2007
0,D,0,D,A,1,15,2007
15115,G,429,H,,34,16,2007
1463023,G,26748,G,,330,17,2007
2504650,G,43810,G,,249,18,2007
398757,H,8152,H,,78,19,2007
95888,H,2430,H,,40,20,2007
732807,G,14002,G,,92,21,2007
124099,H,2487,H,,31,22,2007
0,D,0,D,E,10,23,2007
375366,G,5377,G,,35,24,2007
176056,G,3612,G,,98,25,2007
1194135,G,22931,G,,304,26,2007
309207,G,6637,G,,89,27,2007
150278,G,2993,G,,44,28,2007
394372,G,9796,G,,118,29,2007
0,D,0,D,G,26,30,2007
74960,H,1269,G,,17,31,2007
0,D,0,D,G,18,32,2007
100021,H,2280,H,,36,33,2007
343295,G,6319,G,,117,34,2007
0,D,0,D,E,25,35,2007
587440,G,11776,G,,206,36,2007
390916,G,7561,G,,90,37,2007
2696,H,70,H,,7,38,2007
2703558,G,46684,G,,444,39,2007
239601,G,5849,G,,82,40,2007
484915,H,8549,H,,73,41,2007
2352633,G,42002,G,,403,42,2007
59190,G,1225,G,,53,44,2007
355231,G,6810,G,,87,45,2007
23396,H,0,S,F,11,46,2007
524374,G,11209,G,,120,47,2007
1092517,G,22537,G,,333,48,2007
205188,H,4199,H,,46,49,2007
0,D,0,D,C,4,50,2007
310557,H,6204,H,,66,51,2007
336692,G,6061,G,,89,53,2007
384671,G,7308,G,,42,54,2007
989085,G,21788,G,,179,55,2007
6803,H,164,G,,9,56,2007
890541,-,16566,-,,116,1,2006
0,-,0,-,A,1,2,2006
175132,-,4000,-,,80,4,2006
393628,-,7909,-,,60,5,2006
909289,-,20685,-,,539,6,2006
111725,-,2336,-,,47,8,2006
198773,-,3968,-,,84,9,2006
29268,-,602,-,,9,10,2006
167234,-,3887,-,,130,12,2006
227769,-,5448,-,,83,13,2006
0,-,0,-,B,2,15,2006
11457,-,314,-,,29,16,2006
1358408,-,27310,-,,325,17,2006
2749226,-,46908,-,,256,18,2006
440814,-,8925,-,,79,19,2006
84138,-,2289,-,,41,20,2006
704655,-,14218,-,,89,21,2006
125951,-,2293,-,,29,22,2006
0,-,0,-,E,9,23,2006
197114,-,2959,-,,30,24,2006
193486,-,4081,-,,109,25,2006
1404621,-,27124,-,,322,26,2006
308867,-,6965,-,,94,27,2006
132110,-,3018,-,,38,28,2006
391726,-,10555,-,,113,29,2006
35826,-,780,-,,21,30,2006
70934,-,1247,-,,17,31,2006
67806,-,1314,-,,21,32,2006
98399,-,2447,-,,36,33,2006
358085,-,6915,-,,122,34,2006
15690,-,424,-,,24,35,2006
641071,-,12828,-,,209,36,2006
399264,-,7740,-,,92,37,2006
0,-,0,-,B,5,38,2006
2639715,-,48966,-,,441,39,2006
210887,-,5117,-,,73,40,2006
452833,-,8117,-,,75,41,2006
2264756,-,42631,-,,410,42,2006
54249,-,1222,-,,54,44,2006
342808,-,6132,-,,84,45,2006
25824,-,687,-,,14,46,2006
554919,-,11338,-,,123,47,2006
1093651,-,22544,-,,307,48,2006
181255,-,3731,-,,49,49,2006
0,-,0,-,B,2,50,2006
343989,-,7084,-,,64,51,2006
302845,-,5521,-,,93,53,2006
423820,-,7786,-,,43,54,2006
972689,-,22286,-,,185,55,2006
5357,-,171,-,,7,56,2006
