ap,ap_nf,emp,emp_nf,empflag,est,fipstate,year
2187,H,62,G,,10,1,2011
0,D,0,D,A,2,2,2011
29879,G,709,G,,39,4,2011
0,D,0,D,B,10,5,2011
124088,G,2753,G,,277,6,2011
4397,G,162,G,,36,8,2011
12534,G,280,G,,21,9,2011
0,D,0,D,A,1,10,2011
0,D,0,D,A,2,11,2011
18828,G,538,G,,78,12,2011
44915,G,1452,G,,61,13,2011
0,D,0,D,A,2,15,2011
0,D,0,D,B,8,16,2011
159622,G,3418,G,,135,17,2011
29765,H,0,S,F,37,18,2011
8946,H,253,H,,15,19,2011
3709,H,114,H,,17,20,2011
19485,H,378,H,,18,21,2011
2279,H,64,G,,13,22,2011
0,D,0,D,B,7,23,2011
36924,H,997,H,,39,24,2011
43406,G,910,G,,54,25,2011
0,D,0,D,G,69,26,2011
92123,H,1719,H,,72,27,2011
1914,H,62,H,,5,28,2011
49401,G,885,G,,53,29,2011
0,D,0,D,A,4,30,2011
4528,G,141,G,,7,31,2011
1781,H,40,G,,9,32,2011
6651,G,160,G,,6,33,2011
69343,G,1538,G,,106,34,2011
449,H,0,S,B,5,35,2011
82585,G,1850,G,,156,36,2011
35657,H,923,H,,63,37,2011
73776,G,1442,G,,84,39,2011
2230,H,101,H,,15,40,2011
7629,G,230,H,,31,41,2011
95352,H,2028,H,,71,42,2011
0,D,0,D,B,8,44,2011
9020,G,222,G,,20,45,2011
0,D,0,D,A,2,46,2011
28590,G,738,G,,45,47,2011
65452,G,1640,G,,106,48,2011
9043,G,253,G,,18,49,2011
0,D,0,D,C,6,50,2011
24008,H,440,G,,37,51,2011
14692,G,370,G,,36,53,2011
0,D,0,D,B,2,54,2011
75696,H,1719,H,,55,55,2011
0,D,0,D,B,1,56,2011
2739,H,59,H,,12,1,2010
0,D,0,D,A,2,2,2010
30949,G,716,G,,37,4,2010
0,D,0,D,B,10,5,2010
149129,G,3279,G,,288,6,2010
4463,G,155,G,,35,8,2010
19193,G,388,H,,23,9,2010
0,D,0,D,A,1,10,2010
0,D,0,D,A,3,11,2010
16123,G,517,G,,84,12,2010
47861,G,1513,G,,64,13,2010
576,G,22,H,,3,15,2010
0,D,0,D,B,9,16,2010
164485,G,3589,G,,139,17,2010
33203,H,1078,H,,40,18,2010
8120,G,214,G,,12,19,2010
4042,H,0,S,C,19,20,2010
17540,H,363,H,,21,21,2010
2539,H,0,S,B,13,22,2010
0,D,0,D,B,7,23,2010
44719,G,1155,H,,40,24,2010
45564,G,961,G,,61,25,2010
0,D,0,D,G,78,26,2010
92248,H,1671,H,,75,27,2010
1585,H,45,H,,7,28,2010
50551,G,990,G,,55,29,2010
0,D,0,D,A,4,30,2010
4883,G,147,G,,7,31,2010
1749,H,0,S,B,10,32,2010
5399,G,148,G,,9,33,2010
59325,G,1489,G,,110,34,2010
540,H,25,G,,5,35,2010
81384,G,2058,G,,163,36,2010
