ap,ap_nf,emp,emp_nf,empflag,est,fipstate,year
0,D,0,D,B,2,1,2011
4441,H,130,H,,12,4,2011
0,D,0,D,A,1,5,2011
277699,H,2036,H,,121,6,2011
1201,G,0,S,B,14,8,2011
2612,G,89,G,,9,9,2011
0,D,0,D,A,1,10,2011
0,D,0,D,A,4,11,2011
5068,H,187,H,,33,12,2011
15230,H,372,H,,19,13,2011
0,D,0,D,A,4,15,2011
0,D,0,D,A,1,16,2011
7488,H,0,S,C,26,17,2011
6500,G,277,G,,11,18,2011
4860,H,173,H,,7,19,2011
1672,H,0,S,B,6,20,2011
497,H,24,H,,6,21,2011
3046,H,0,S,C,4,22,2011
0,D,0,D,A,3,23,2011
0,D,0,D,F,14,24,2011
8067,G,173,G,,28,25,2011
3661,H,125,H,,16,26,2011
0,D,0,D,E,16,27,2011
0,D,0,D,A,2,28,2011
35880,H,1423,H,,9,29,2011
77,H,0,S,A,3,30,2011
0,D,0,D,A,3,31,2011
0,D,0,D,B,2,32,2011
0,D,0,D,A,1,33,2011
3118,H,92,H,,24,34,2011
0,D,0,D,A,2,35,2011
23679,G,521,H,,114,36,2011
4225,H,142,H,,15,37,2011
0,D,0,D,B,3,38,2011
10109,G,247,G,,27,39,2011
8775,H,220,G,,6,40,2011
2751,G,91,G,,12,41,2011
2264,G,78,H,,15,42,2011
0,D,0,D,A,2,44,2011
456,G,0,S,A,3,45,2011
263,G,11,G,,3,46,2011
19418,G,704,G,,16,47,2011
11122,H,337,H,,38,48,2011
0,D,0,D,C,12,49,2011
0,D,0,D,A,4,50,2011
0,D,0,D,C,12,51,2011
9893,G,406,G,,16,53,2011
0,D,0,D,B,5,54,2011
0,D,0,D,C,10,55,2011
0,D,0,D,B,5,1,2010
4376,H,0,S,C,13,4,2010
0,D,0,D,A,2,5,2010
174945,H,1918,H,,125,6,2010
1327,G,45,H,,13,8,2010
2696,G,83,H,,13,9,2010
0,D,0,D,A,2,10,2010
79,H,0,S,A,5,11,2010
5009,H,171,H,,34,12,2010
14576,H,358,G,,19,13,2010
0,D,0,D,A,5,15,2010
0,D,0,D,A,1,16,2010
5620,G,201,G,,29,17,2010
6134,H,259,G,,13,18,2010
5142,H,175,H,,8,19,2010
0,D,0,D,E,7,20,2010
795,H,42,G,,8,21,2010
3105,H,40,G,,4,22,2010
129,H,0,S,A,4,23,2010
0,D,0,D,F,16,24,2010
7987,G,186,G,,24,25,2010
4391,H,158,G,,18,26,2010
0,D,0,D,E,20,27,2010
0,D,0,D,A,1,28,2010
38500,H,1901,H,,12,29,2010
76,G,0,S,A,4,30,2010
0,D,0,D,A,3,31,2010
0,D,0,D,A,2,32,2010
0,D,0,D,A,2,33,2010
3362,H,101,H,,27,34,2010
0,D,0,D,A,1,35,2010
23731,G,567,G,,121,36,2010
4525,H,164,H,,16,37,2010
0,D,0,D,B,3,38,2010
10229,G,248,G,,32,39,2010
8582,H,226,H,,6,40,2010
2396,G,92,G,,13,41,2010
2085,H,101,H,,15,42,2010
0,D,0,D,A,2,44,2010
499,H,0,S,B,4,45,2010
0,D,0,D,A,2,46,2010
21986,G,912,H,,19,47,2010
14660,G,602,G,,43,48,2010
0,D,0,D,C,11,49,2010
0,D,0,D,A,4,50,2010
0,D,0,D,C,17,51,2010
10141,G,323,G,,19,53,2010
0,D,0,D,B,6,54,2010
6647,H,170,G,,13,55,2010
0,D,0,D,A,1,56,2010
0,D,0,D,B,6,1,2009
3493,H,139,G,,13,4,2009
0,D,0,D,A,3,5,2009
