ap,ap_nf,emp,emp_nf,empflag,est,fipstate,year
39894,G,1535,G,,293,1,2011
13046,G,288,H,,85,2,2011
67615,G,2299,G,,425,4,2011
22786,G,861,G,,145,5,2011
482206,G,13753,G,,2887,6,2011
68183,G,1953,G,,361,8,2011
65180,G,1906,G,,340,9,2011
14414,G,478,G,,86,10,2011
8930,G,193,H,,47,11,2011
296733,G,9849,G,,2170,12,2011
90548,G,3315,G,,660,13,2011
72655,G,2039,G,,360,15,2011
13008,G,472,G,,94,16,2011
148726,G,4982,G,,931,17,2011
67142,G,2354,G,,370,18,2011
34382,G,1225,G,,204,19,2011
26863,G,1073,G,,183,20,2011
36996,G,1406,G,,254,21,2011
61579,G,1706,G,,299,22,2011
17019,G,587,H,,116,23,2011
86860,G,2789,G,,419,24,2011
108400,G,3383,G,,655,25,2011
112517,G,3916,G,,721,26,2011
59760,G,2003,G,,347,27,2011
18455,G,768,G,,155,28,2011
54138,G,1937,G,,351,29,2011
9510,G,409,G,,94,30,2011
20955,H,776,G,,101,31,2011
77523,G,2086,G,,289,32,2011
23350,G,829,G,,127,33,2011
164788,G,5444,G,,997,34,2011
24532,G,902,G,,192,35,2011
403130,G,10675,G,,2462,36,2011
95521,G,3653,G,,636,37,2011
9403,G,311,G,,47,38,2011
115477,G,4151,G,,733,39,2011
32778,G,1139,G,,202,40,2011
44295,G,1531,G,,283,41,2011
148495,G,5456,G,,1024,42,2011
12939,G,487,H,,105,44,2011
42199,G,1635,G,,343,45,2011
7310,G,277,G,,49,46,2011
59091,G,2035,G,,378,47,2011
286291,G,9595,G,,1620,48,2011
21920,G,802,G,,137,49,2011
9204,G,331,G,,54,50,2011
101599,G,3554,G,,626,51,2011
78392,G,2431,G,,436,53,2011
12731,H,519,H,,96,54,2011
58635,G,2055,G,,376,55,2011
5961,G,225,H,,46,56,2011
40431,G,1547,G,,310,1,2010
12870,G,277,G,,84,2,2010
63441,G,2263,G,,438,4,2010
20563,G,733,G,,145,5,2010
449465,G,13669,G,,2924,6,2010
64243,G,2010,G,,362,8,2010
60531,G,1845,G,,340,9,2010
14169,G,498,G,,91,10,2010
8595,G,210,G,,51,11,2010
273927,G,9408,G,,2139,12,2010
87714,G,3356,G,,670,13,2010
68294,G,2077,G,,367,15,2010
12790,G,484,G,,97,16,2010
143914,G,5035,G,,975,17,2010
64162,G,2340,G,,386,18,2010
34038,G,1463,G,,207,19,2010
25349,G,1077,G,,189,20,2010
33932,G,1411,G,,252,21,2010
58668,G,1692,G,,303,22,2010
16146,G,624,G,,121,23,2010
80116,G,2697,G,,432,24,2010
101530,G,3352,G,,657,25,2010
107855,G,3893,G,,721,26,2010
60309,G,2052,G,,361,27,2010
18025,G,763,G,,164,28,2010
53386,G,2042,G,,356,29,2010
9154,G,423,G,,98,30,2010
19643,G,755,G,,111,31,2010
69855,G,2110,G,,278,32,2010
22455,G,794,G,,132,33,2010
143047,G,4929,G,,1003,34,2010
26047,G,1019,G,,202,35,2010
382219,G,10773,G,,2487,36,2010
96013,G,3770,G,,655,37,2010
8949,G,333,G,,47,38,2010
109592,G,4280,G,,771,39,2010
31184,G,1184,G,,204,40,2010
43102,G,1524,G,,287,41,2010
144626,G,5477,G,,1045,42,2010
12815,G,446,G,,110,44,2010
40756,G,1726,G,,343,45,2010
6886,G,253,G,,50,46,2010
55616,G,2120,G,,390,47,2010
260727,G,9200,G,,1612,48,2010
19802,G,835,G,,137,49,2010
8306,G,306,G,,53,50,2010
97776,G,3566,G,,629,51,2010
73827,G,2422,G,,445,53,2010
12113,H,535,H,,104,54,2010
