ap,ap_nf,emp,emp_nf,empflag,est,fipstate,year
80215,G,2168,G,,306,1,2011
22986,G,210,H,,60,2,2011
182908,G,4868,G,,600,4,2011
36029,G,1195,G,,168,5,2011
989781,G,22754,G,,2932,6,2011
178343,G,4385,G,,665,8,2011
102896,G,1272,G,,356,9,2011
24474,G,543,G,,95,10,2011
0,D,0,D,B,3,11,2011
391062,G,11870,G,,2527,12,2011
137965,G,3801,G,,566,13,2011
32658,G,727,G,,89,15,2011
44673,G,1142,G,,320,16,2011
384087,G,6130,G,,1281,17,2011
264290,H,4283,G,,534,18,2011
62537,G,1050,G,,295,19,2011
50184,G,1338,G,,280,20,2011
64495,G,1510,G,,328,21,2011
299539,G,7676,H,,380,22,2011
25928,G,367,G,,159,23,2011
210212,G,4529,G,,454,24,2011
173835,G,2503,G,,706,25,2011
174813,G,2558,G,,690,26,2011
189925,G,3247,G,,1309,27,2011
34001,G,1104,G,,141,28,2011
166586,G,3613,G,,656,29,2011
32881,G,637,G,,240,30,2011
51415,G,1137,G,,221,31,2011
93496,G,2062,G,,247,32,2011
22237,G,387,G,,149,33,2011
215697,G,3914,G,,829,34,2011
30166,G,868,G,,157,35,2011
454577,G,7321,G,,1753,36,2011
162415,G,4749,G,,747,37,2011
24500,G,339,G,,86,38,2011
205638,G,3203,H,,839,39,2011
92760,G,2475,G,,331,40,2011
71872,G,1810,G,,399,41,2011
306086,G,5905,G,,1190,42,2011
22733,G,303,G,,133,44,2011
69490,G,2159,G,,374,45,2011
18629,H,326,H,,109,46,2011
100061,G,2864,G,,378,47,2011
1078799,G,26432,G,,1916,48,2011
100425,G,2137,G,,437,49,2011
8504,H,137,G,,68,50,2011
249496,G,6624,G,,1218,51,2011
184755,G,3857,G,,684,53,2011
45000,H,949,G,,131,54,2011
134269,G,1979,G,,540,55,2011
23536,H,482,H,,123,56,2011
106378,G,2626,G,,314,1,2010
21312,G,244,G,,62,2,2010
181193,G,5255,G,,620,4,2010
35758,G,1210,G,,180,5,2010
1005460,G,24298,G,,2881,6,2010
177687,G,4150,G,,708,8,2010
99052,G,1259,G,,361,9,2010
