ap,ap_nf,emp,emp_nf,empflag,est,fipstate,year
55151,G,1245,G,,55,1,2011
65376,G,1438,G,,82,4,2011
39956,H,970,H,,45,5,2011
488152,G,8702,G,,549,6,2011
44779,H,819,H,,54,8,2011
166168,G,2828,G,,203,9,2011
0,D,0,D,A,2,10,2011
49182,G,1275,G,,116,12,2011
39469,G,868,G,,64,13,2011
10191,G,230,H,,15,16,2011
594509,G,10557,G,,597,17,2011
254016,G,5135,G,,325,18,2011
69650,H,1424,H,,81,19,2011
49148,H,901,H,,35,20,2011
117495,H,2148,G,,84,21,2011
2014,G,62,H,,12,22,2011
0,D,0,D,C,15,23,2011
30768,G,584,G,,24,24,2011
191817,H,3166,G,,170,25,2011
1869520,G,29703,G,,1173,26,2011
277559,G,4668,G,,202,27,2011
15637,G,427,H,,28,28,2011
157768,G,3109,H,,140,29,2011
1550,H,53,H,,8,30,2011
14761,H,350,G,,23,31,2011
10241,G,189,G,,12,32,2011
34015,H,581,H,,31,33,2011
79375,G,1373,G,,134,34,2011
3366,H,0,S,B,5,35,2011
265288,G,4681,G,,253,36,2011
99146,G,2033,G,,124,37,2011
0,D,0,D,A,2,38,2011
892885,G,16416,G,,718,39,2011
20118,G,477,H,,36,40,2011
34918,G,725,H,,61,41,2011
452654,G,8687,G,,409,42,2011
30038,G,614,G,,47,44,2011
128240,G,2408,G,,71,45,2011
13580,H,356,H,,14,46,2011
147759,G,3359,G,,160,47,2011
129122,G,2611,G,,194,48,2011
15522,G,448,G,,39,49,2011
0,D,0,D,G,23,50,2011
52587,H,993,H,,46,51,2011
106232,G,1742,G,,59,53,2011
2337,G,54,G,,5,54,2011
378533,G,6889,G,,337,55,2011
1256,H,28,G,,4,56,2011
49817,G,1420,G,,58,1,2010
64028,G,1364,G,,84,4,2010
30784,H,842,H,,50,5,2010
472822,G,8610,G,,567,6,2010
74593,G,1332,G,,59,8,2010
157021,G,2785,G,,209,9,2010
251,H,6,G,,3,10,2010
45172,G,1184,G,,124,12,2010
40169,H,911,G,,67,13,2010
8974,G,211,G,,15,16,2010
542902,G,10056,G,,617,17,2010
225364,G,4740,G,,325,18,2010
65182,G,1355,G,,86,19,2010
44266,H,881,H,,37,20,2010
89290,H,1793,G,,83,21,2010
2357,G,71,G,,9,22,2010
0,D,0,D,E,14,23,2010
27437,G,551,G,,26,24,2010
198167,G,3333,G,,177,25,2010
1574656,G,26317,G,,1185,26,2010
249335,G,4661,G,,205,27,2010
14401,G,361,H,,27,28,2010
144812,G,2878,G,,140,29,2010
1550,H,50,G,,7,30,2010
14043,H,286,G,,19,31,2010
6719,H,127,G,,12,32,2010
29425,G,535,H,,33,33,2010
78287,G,1421,G,,141,34,2010
4042,H,0,S,B,7,35,2010
239918,G,4469,G,,267,36,2010
93598,G,2045,H,,121,37,2010
0,D,0,D,A,2,38,2010
807235,G,15758,G,,730,39,2010
19972,G,493,G,,41,40,2010
31375,G,698,G,,61,41,2010
393701,G,7992,G,,420,42,2010
17922,G,394,G,,47,44,2010
109777,G,2033,G,,71,45,2010
11861,H,311,H,,14,46,2010
137157,G,3132,G,,159,47,2010
116298,G,2299,G,,190,48,2010
18391,G,562,G,,44,49,2010
0,D,0,D,G,23,50,2010
0,D,0,D,F,48,51,2010
88320,G,1543,G,,59,53,2010
4823,H,0,S,C,6,54,2010
330838,G,6390,G,,341,55,2010
1161,H,30,H,,5,56,2010
49172,G,1344,G,,65,1,2009
61843,G,1314,G,,80,4,2009
30605,H,875,H,,50,5,2009
424890,G,9551,G,,607,6,2009
50013,G,1158,H,,62,8,2009
164982,G,3329,G,,220,9,2009
0,D,0,D,A,2,10,2009
50756,G,1348,G,,130,12,2009
37448,G,901,G,,69,13,2009
7817,G,222,G,,16,16,2009
560281,G,11773,G,,645,17,2009
210859,G,5430,G,,336,18,2009
64252,G,1682,G,,85,19,2009
43580,H,986,H,,38,20,2009
95890,H,2188,G,,84,21,2009
2559,G,68,H,,9,22,2009
0,D,0,D,C,13,23,2009
27279,G,556,G,,26,24,2009
200636,G,3555,G,,186,25,2009
1368985,G,26901,G,,1236,26,2009
241565,G,5271,G,,204,27,2009
11737,H,327,H,,28,28,2009
111590,G,2536,G,,147,29,2009
1270,H,46,H,,6,30,2009
12170,H,413,H,,21,31,2009
5848,H,119,G,,11,32,2009
26380,G,609,H,,37,33,2009
80185,G,1697,G,,155,34,2009
5912,G,152,H,,10,35,2009
248909,G,5485,G,,272,36,2009
92913,G,2355,G,,130,37,2009
0,D,0,D,B,3,38,2009
807313,G,17355,G,,783,39,2009
22439,G,663,H,,45,40,2009
29460,H,748,H,,61,41,2009
370166,G,8842,G,,439,42,2009
15887,G,430,G,,47,44,2009
106501,G,2299,G,,75,45,2009
10773,H,335,H,,14,46,2009
129914,G,3126,G,,164,47,2009
92099,G,2310,G,,198,48,2009
16661,G,477,G,,40,49,2009
0,D,0,D,G,26,50,2009
47573,H,993,H,,47,51,2009
104651,G,2028,G,,62,53,2009
5398,H,175,H,,6,54,2009
316082,G,6824,G,,349,55,2009
1249,H,0,S,B,5,56,2009
56363,G,1479,G,,65,1,2008
0,D,0,D,A,1,2,2008
65379,G,1530,G,,82,4,2008
50101,H,1228,H,,53,5,2008
548989,G,10309,G,,632,6,2008
55549,G,1277,H,,63,8,2008
217194,G,3751,G,,228,9,2008
0,D,0,D,A,2,10,2008
69364,G,1793,G,,140,12,2008
58047,H,1366,H,,72,13,2008
9337,G,254,H,,17,16,2008
719399,G,14119,G,,684,17,2008
273228,G,5907,G,,357,18,2008
84953,G,2037,G,,90,19,2008
57675,H,1183,H,,39,20,2008
167260,H,3033,H,,93,21,2008
3001,G,67,H,,9,22,2008
0,D,0,D,E,12,23,2008
32496,H,631,G,,28,24,2008
226598,G,3716,G,,191,25,2008
1772436,G,31841,G,,1314,26,2008
304081,G,5726,G,,222,27,2008
12949,H,379,H,,30,28,2008
162293,G,3355,G,,144,29,2008
1591,H,63,G,,6,30,2008
19081,G,550,G,,23,31,2008
4360,G,126,G,,12,32,2008
35006,G,658,H,,39,33,2008
102776,G,1974,G,,168,34,2008
6996,G,162,G,,11,35,2008
322043,G,6399,G,,277,36,2008
111015,G,2567,G,,128,37,2008
0,D,0,D,B,3,38,2008
1028788,G,20613,G,,831,39,2008
42177,G,1003,G,,52,40,2008
