ap,ap_nf,emp,emp_nf,empflag,est,fipstate,year
262100,G,8155,G,,291,1,2011
5848,H,130,G,,25,2,2011
142557,G,4533,G,,267,4,2011
131692,G,4212,G,,148,5,2011
1108540,G,30999,G,,2001,6,2011
121570,G,3165,G,,302,8,2011
97298,G,2178,G,,222,9,2011
29751,G,775,H,,29,10,2011
0,D,0,D,C,4,11,2011
267135,G,8173,G,,977,12,2011
331637,G,9569,G,,504,13,2011
11274,G,287,G,,47,15,2011
47418,H,1635,G,,134,16,2011
411706,G,10506,G,,592,17,2011
638003,G,18252,G,,450,18,2011
193233,H,5171,H,,181,19,2011
93663,H,2940,H,,130,20,2011
107004,H,3284,H,,168,21,2011
36100,G,1179,G,,141,22,2011
45394,G,1095,G,,102,23,2011
151704,G,3814,G,,212,24,2011
173122,G,3688,G,,303,25,2011
853501,H,17068,G,,441,26,2011
316321,G,8159,G,,477,27,2011
489769,G,17480,G,,233,28,2011
201165,G,5341,G,,344,29,2011
15938,G,525,G,,103,30,2011
70122,H,1767,H,,75,31,2011
35709,G,1048,G,,91,32,2011
55550,H,1300,H,,72,33,2011
237679,G,5389,G,,396,34,2011
21334,G,795,G,,113,35,2011
579261,G,14460,G,,1054,36,2011
1043328,G,31976,G,,812,37,2011
34150,H,941,H,,60,38,2011
546061,G,13260,G,,608,39,2011
50000,G,1424,G,,110,40,2011
144682,G,4217,G,,343,41,2011
623141,G,15229,G,,712,42,2011
67343,G,1555,G,,59,44,2011
79754,G,2383,G,,192,45,2011
68170,H,2042,G,,64,46,2011
297932,G,9698,G,,320,47,2011
712067,G,20266,G,,862,48,2011
182455,G,5076,G,,283,49,2011
48310,G,1358,G,,75,50,2011
283120,G,8358,G,,412,51,2011
188081,G,4914,G,,414,53,2011
17154,G,582,G,,48,54,2011
613702,G,14269,G,,454,55,2011
4402,G,162,G,,37,56,2011
271537,G,8784,G,,321,1,2010
5531,H,139,G,,29,2,2010
131376,G,4427,G,,289,4,2010
148580,G,4577,G,,168,5,2010
1099558,G,31562,G,,2125,6,2010
126572,G,3399,G,,314,8,2010
101630,G,2457,G,,240,9,2010
29976,H,846,H,,30,10,2010
0,D,0,D,C,4,11,2010
252833,G,8253,G,,1015,12,2010
328990,G,9797,G,,550,13,2010
11408,G,313,G,,51,15,2010
44466,H,1483,H,,140,16,2010
421409,G,11154,G,,624,17,2010
606816,G,18070,G,,474,18,2010
184994,H,5150,H,,198,19,2010
100650,G,3066,G,,144,20,2010
117104,H,3896,H,,181,21,2010
35412,G,1197,G,,151,22,2010
44502,G,1105,G,,108,23,2010
137497,G,3755,G,,220,24,2010
173306,G,3743,G,,310,25,2010
753472,H,15451,G,,458,26,2010
304414,G,8258,G,,505,27,2010
496574,G,18439,G,,239,28,2010
196228,G,5751,G,,364,29,2010
16409,G,581,G,,109,30,2010
66397,H,1802,H,,76,31,2010
38222,G,960,G,,99,32,2010
52521,H,1282,H,,74,33,2010
212375,G,5369,G,,413,34,2010
24716,G,872,G,,121,35,2010
573563,G,14686,G,,1099,36,2010
1072349,G,34171,G,,871,37,2010
35303,H,985,H,,62,38,2010
563214,G,15342,G,,630,39,2010
52452,G,1565,G,,121,40,2010
145736,G,4305,G,,365,41,2010
619112,G,15792,G,,728,42,2010
60116,H,1398,H,,57,44,2010
156419,G,4782,G,,203,45,2010
