ap,ap_nf,emp,emp_nf,empflag,est,fipstate,year
0,D,0,D,E,5,1,2011
0,D,0,D,A,1,2,2011
83237,H,1497,H,,12,4,2011
0,D,0,D,E,8,5,2011
751507,H,13646,H,,127,6,2011
56175,H,1297,H,,18,8,2011
34459,G,651,G,,10,9,2011
4286,H,128,H,,4,10,2011
91967,G,1962,G,,20,12,2011
0,D,0,D,F,9,13,2011
0,D,0,D,E,3,15,2011
99450,H,2401,H,,23,16,2011
129376,G,2648,G,,45,17,2011
105123,G,1992,G,,15,18,2011
101394,H,2060,H,,22,19,2011
0,D,0,D,E,3,20,2011
100296,G,2347,G,,14,21,2011
44438,G,1194,G,,9,22,2011
21182,G,543,G,,12,23,2011
41657,H,835,H,,11,24,2011
0,D,0,D,G,18,25,2011
222770,H,4362,H,,34,26,2011
206167,H,4571,H,,58,27,2011
0,D,0,D,F,3,28,2011
0,D,0,D,H,24,29,2011
18984,H,482,H,,6,30,2011
31191,H,731,H,,11,31,2011
0,D,0,D,C,2,32,2011
0,D,0,D,F,5,33,2011
117499,G,2418,G,,34,34,2011
63541,H,1431,H,,8,35,2011
330409,G,7157,G,,82,36,2011
38446,H,1111,H,,14,37,2011
0,D,0,D,E,4,38,2011
247068,H,4971,H,,43,39,2011
31257,G,801,G,,6,40,2011
96321,G,2040,G,,24,41,2011
269187,G,5288,G,,57,42,2011
4504,H,129,G,,7,44,2011
19431,G,487,G,,5,45,2011
48940,H,1192,H,,10,46,2011
80198,H,1578,H,,13,47,2011
306209,G,6644,G,,51,48,2011
133468,H,2945,H,,21,49,2011
54120,G,1160,G,,20,50,2011
121674,G,2164,G,,10,51,2011
56825,H,1187,H,,19,53,2011
0,D,0,D,C,1,54,2011
880019,G,19692,G,,225,55,2011
20775,G,419,G,,6,1,2010
0,D,0,D,A,1,2,2010
83129,H,1491,H,,11,4,2010
0,D,0,D,E,8,5,2010
744403,H,13790,H,,133,6,2010
58441,H,1227,H,,17,8,2010
33099,G,662,G,,10,9,2010
4192,H,138,H,,4,10,2010
84232,G,1869,G,,18,12,2010
0,D,0,D,F,10,13,2010
0,D,0,D,E,3,15,2010
93485,H,2355,H,,22,16,2010
129178,G,2695,G,,47,17,2010
104615,G,2036,G,,15,18,2010
98261,H,2013,H,,24,19,2010
0,D,0,D,E,4,20,2010
95602,G,2193,G,,12,21,2010
44344,H,1231,H,,8,22,2010
22802,G,555,G,,13,23,2010
41690,H,828,G,,11,24,2010
0,D,0,D,G,21,25,2010
222873,H,4454,H,,34,26,2010
214626,H,4900,H,,60,27,2010
0,D,0,D,F,3,28,2010
0,D,0,D,H,25,29,2010
22144,H,507,H,,7,30,2010
42300,H,916,G,,10,31,2010
0,D,0,D,E,3,32,2010
0,D,0,D,F,5,33,2010
121327,G,2474,G,,37,34,2010
60088,H,1588,H,,8,35,2010
322753,G,7494,G,,80,36,2010
37818,H,1132,H,,11,37,2010
13401,G,350,G,,5,38,2010
245319,H,5042,H,,44,39,2010
27036,G,664,G,,6,40,2010
98900,G,2047,G,,23,41,2010
300572,G,6074,G,,62,42,2010
4271,G,125,G,,6,44,2010
21185,H,536,H,,5,45,2010
47630,H,1168,H,,10,46,2010
85517,H,1646,H,,12,47,2010
267176,G,6106,G,,43,48,2010
135032,H,2994,H,,19,49,2010
50070,G,1173,G,,20,50,2010
134229,G,2128,G,,10,51,2010
