ap,ap_nf,emp,emp_nf,empflag,est,fipstate,year
19181,G,1303,G,,217,1,2011
8751,G,410,G,,62,2,2011
33191,G,2238,G,,347,4,2011
8994,G,568,G,,122,5,2011
446286,G,22183,G,,3066,6,2011
32508,G,2082,G,,361,8,2011
26918,G,1417,G,,284,9,2011
10713,G,566,G,,95,10,2011
12909,G,752,G,,53,11,2011
132114,G,7689,G,,1412,12,2011
36329,G,2265,G,,424,13,2011
15442,G,942,G,,124,15,2011
11934,G,943,G,,129,16,2011
129755,G,6914,G,,966,17,2011
38922,G,2567,G,,354,18,2011
17962,G,1376,G,,191,19,2011
20468,G,1312,G,,185,20,2011
14544,G,1220,H,,157,21,2011
33693,G,2007,G,,315,22,2011
13390,G,580,G,,139,23,2011
54183,G,3098,G,,471,24,2011
104962,G,4652,G,,635,25,2011
105515,G,5850,G,,864,26,2011
54032,G,3536,G,,431,27,2011
10761,H,541,H,,114,28,2011
33273,G,2081,G,,339,29,2011
7833,G,487,G,,85,30,2011
11063,G,659,G,,135,31,2011
22304,G,1161,G,,141,32,2011
18481,H,922,H,,119,33,2011
129228,G,6317,G,,1201,34,2011
10375,G,577,H,,121,35,2011
335168,G,16268,G,,3130,36,2011
47522,G,2557,G,,490,37,2011
5932,H,362,H,,57,38,2011
87935,G,5223,G,,744,39,2011
17062,G,931,G,,164,40,2011
43921,G,2816,G,,365,41,2011
131775,G,8200,G,,1203,42,2011
11691,G,640,G,,102,44,2011
19613,G,1268,G,,250,45,2011
7081,G,451,G,,72,46,2011
21260,G,1450,G,,241,47,2011
173349,G,9485,G,,1267,48,2011
15515,G,1303,G,,152,49,2011
8372,G,353,G,,70,50,2011
35810,G,2241,G,,444,51,2011
87174,G,4596,G,,622,53,2011
6091,G,414,H,,64,54,2011
62714,G,3764,G,,475,55,2011
2882,G,180,G,,37,56,2011
18677,G,1281,G,,227,1,2010
7792,G,405,H,,59,2,2010
31245,G,2246,G,,352,4,2010
10392,G,563,G,,125,5,2010
410335,G,21061,G,,3132,6,2010
32315,G,2200,G,,371,8,2010
27179,G,1524,G,,280,9,2010
10253,G,561,G,,88,10,2010
10255,G,518,G,,48,11,2010
125462,G,7189,G,,1403,12,2010
34447,G,2143,G,,429,13,2010
14999,G,923,G,,125,15,2010
11980,G,1050,H,,142,16,2010
128399,G,6834,G,,1004,17,2010
36247,G,2507,G,,353,18,2010
16425,G,1310,G,,190,19,2010
19556,G,1279,G,,199,20,2010
14940,G,1048,G,,171,21,2010
33276,G,1959,G,,310,22,2010
14147,G,660,G,,147,23,2010
48787,G,2821,G,,452,24,2010
107749,G,4716,G,,652,25,2010
102766,G,5718,G,,874,26,2010
51512,G,3332,G,,439,27,2010
10756,H,596,H,,115,28,2010
32926,G,2098,G,,349,29,2010
7910,G,506,H,,89,30,2010
11917,G,810,G,,132,31,2010
21530,G,1195,G,,139,32,2010
18142,G,904,G,,134,33,2010
121306,G,6109,G,,1204,34,2010
10219,G,623,G,,122,35,2010
311134,G,15625,G,,3172,36,2010
40712,G,2189,G,,507,37,2010
5430,H,325,H,,53,38,2010
86451,G,5855,G,,777,39,2010
15236,G,835,G,,153,40,2010
42119,G,2721,G,,367,41,2010
132997,G,8244,G,,1254,42,2010
11387,G,640,G,,110,44,2010
19237,G,1210,G,,251,45,2010
6675,G,482,H,,71,46,2010
21445,G,1413,G,,264,47,2010
166722,G,9337,G,,1295,48,2010
16619,G,1350,G,,151,49,2010
6087,G,307,G,,68,50,2010
35461,G,2183,G,,437,51,2010
81388,G,4479,G,,626,53,2010
5586,G,377,H,,64,54,2010
55728,G,3731,G,,486,55,2010
2826,G,219,H,,39,56,2010
18639,G,1275,G,,213,1,2009
6980,H,350,H,,53,2,2009
30786,G,1994,G,,350,4,2009
8843,G,501,G,,120,5,2009
377265,G,21049,G,,3149,6,2009
30449,G,2204,G,,362,8,2009
26185,G,1340,G,,283,9,2009
9692,G,546,G,,93,10,2009
8560,G,433,H,,44,11,2009
121228,G,6945,G,,1410,12,2009
34326,G,2166,G,,424,13,2009
14819,G,867,G,,131,15,2009
11835,G,1040,H,,147,16,2009
117745,G,6443,G,,986,17,2009
34535,G,2466,G,,351,18,2009
16725,G,1276,H,,186,19,2009
20810,G,1372,G,,191,20,2009
15367,G,1257,H,,173,21,2009
34736,G,2251,G,,314,22,2009
12708,G,541,G,,140,23,2009
47045,G,2758,G,,461,24,2009
102232,G,4706,G,,635,25,2009
103101,G,5896,G,,891,26,2009
51637,G,3587,G,,440,27,2009
11237,H,574,H,,115,28,2009
31089,G,1910,G,,332,29,2009
7722,H,496,H,,86,30,2009
13010,G,780,H,,137,31,2009
21217,G,1266,H,,149,32,2009
17105,G,848,G,,128,33,2009
113705,G,5643,G,,1182,34,2009
11565,G,678,G,,134,35,2009
293521,G,14873,G,,3175,36,2009
40764,G,2437,G,,514,37,2009
5327,H,357,H,,58,38,2009
85480,G,6032,G,,785,39,2009
14191,G,797,G,,151,40,2009
41171,G,2796,G,,360,41,2009
124694,G,8184,G,,1244,42,2009
9965,H,527,H,,97,44,2009
18810,G,1181,G,,251,45,2009
6805,G,506,H,,76,46,2009
20307,G,1317,G,,258,47,2009
156808,G,8715,G,,1255,48,2009
15031,G,1175,G,,149,49,2009
5744,G,292,G,,63,50,2009
35473,G,2449,G,,460,51,2009
