ap,ap_nf,emp,emp_nf,empflag,est,fipstate,year
3331,H,0,S,B,7,1,2011
627,G,0,S,A,3,2,2011
9922,G,212,H,,31,4,2011
2963,H,43,H,,12,5,2011
611987,G,10070,G,,639,6,2011
4437,G,125,G,,30,8,2011
24830,H,387,H,,16,9,2011
0,D,0,D,A,3,10,2011
0,D,0,D,A,1,11,2011
45627,G,846,G,,149,12,2011
35268,H,610,G,,43,13,2011
1744,H,56,G,,18,15,2011
0,D,0,D,B,4,16,2011
99706,G,1892,G,,98,17,2011
9029,H,202,H,,35,18,2011
22526,H,582,H,,12,19,2011
0,D,0,D,E,9,20,2011
1241,G,0,S,B,10,21,2011
4217,H,108,H,,15,22,2011
0,D,0,D,A,6,23,2011
11933,G,365,G,,20,24,2011
16249,G,0,S,E,39,25,2011
0,D,0,D,C,28,26,2011
15366,G,266,G,,37,27,2011
0,D,0,D,C,7,28,2011
17366,H,405,H,,47,29,2011
431,H,0,S,A,7,30,2011
6238,G,164,G,,11,31,2011
13182,G,222,G,,13,32,2011
5600,G,114,G,,11,33,2011
88273,G,1573,G,,95,34,2011
0,D,0,D,A,6,35,2011
197880,H,2738,H,,193,36,2011
8864,H,217,H,,19,37,2011
0,D,0,D,A,3,38,2011
42074,G,823,H,,68,39,2011
3711,H,0,S,B,16,40,2011
5151,G,116,H,,23,41,2011
26308,G,548,G,,68,42,2011
1594,H,0,S,B,7,44,2011
3624,H,150,H,,15,45,2011
0,D,0,D,B,5,46,2011
7609,G,294,H,,23,47,2011
30607,G,698,G,,99,48,2011
0,D,0,D,E,27,49,2011
0,D,0,D,B,8,50,2011
7243,G,162,H,,27,51,2011
181264,H,2160,G,,62,53,2011
548,H,0,S,B,5,54,2011
16119,G,398,G,,30,55,2011
0,D,0,D,B,7,56,2011
3130,H,80,G,,10,1,2010
460,H,19,G,,4,2,2010
9062,G,187,H,,29,4,2010
3297,G,43,H,,15,5,2010
612493,G,10385,G,,667,6,2010
3928,G,119,G,,28,8,2010
0,D,0,D,E,18,9,2010
0,D,0,D,A,1,11,2010
42293,G,852,G,,160,12,2010
33587,G,539,G,,44,13,2010
2024,H,63,H,,18,15,2010
0,D,0,D,B,4,16,2010
106240,G,1989,G,,103,17,2010
9576,G,253,H,,35,18,2010
21882,H,592,H,,12,19,2010
8299,H,211,H,,10,20,2010
976,G,0,S,B,10,21,2010
3767,H,80,H,,12,22,2010
0,D,0,D,A,6,23,2010
14039,G,423,G,,20,24,2010
16590,G,264,H,,40,25,2010
0,D,0,D,C,30,26,2010
13521,G,253,G,,39,27,2010
0,D,0,D,C,6,28,2010
16367,H,413,G,,46,29,2010
403,H,21,G,,6,30,2010
3195,G,72,H,,8,31,2010
16529,G,409,H,,10,32,2010
5264,G,103,G,,11,33,2010
92186,G,1562,G,,103,34,2010
0,D,0,D,A,3,35,2010
261381,G,3014,G,,203,36,2010
12726,H,307,H,,24,37,2010
0,D,0,D,A,2,38,2010
37351,G,822,G,,68,39,2010
3629,H,0,S,C,18,40,2010
4460,G,109,H,,22,41,2010
25375,G,561,G,,66,42,2010
1510,G,0,S,B,7,44,2010
