ap,ap_nf,emp,emp_nf,empflag,est,fipstate,year
103982,G,2569,G,,180,1,2011
11363,H,193,G,,20,2,2011
85593,G,2484,H,,117,4,2011
127284,H,3592,H,,149,5,2011
541761,G,13111,G,,693,6,2011
103668,G,2286,G,,202,8,2011
29518,G,573,G,,40,9,2011
0,D,0,D,G,30,10,2011
259053,G,6382,G,,459,12,2011
190547,G,5178,G,,279,13,2011
2272,H,0,S,C,9,15,2011
28758,G,719,G,,100,16,2011
413891,G,9198,G,,466,17,2011
261223,G,6497,G,,342,18,2011
164849,G,3984,G,,387,19,2011
147962,G,3629,G,,272,20,2011
140066,G,2996,G,,163,21,2011
200355,G,4946,G,,263,22,2011
22485,G,637,G,,68,23,2011
65264,G,1402,G,,111,24,2011
71895,G,1484,G,,86,25,2011
265096,H,5170,G,,300,26,2011
118955,G,2642,G,,227,27,2011
72408,H,2123,H,,129,28,2011
248348,G,6029,G,,387,29,2011
35860,G,744,G,,94,30,2011
75751,G,2006,G,,288,31,2011
41580,G,1113,H,,60,32,2011
10847,H,271,H,,27,33,2011
198422,G,4188,G,,229,34,2011
69986,G,1244,G,,100,35,2011
140998,G,3093,G,,227,36,2011
146790,H,3726,H,,240,37,2011
54651,H,1185,H,,161,38,2011
345477,G,9612,H,,379,39,2011
119954,G,2334,G,,193,40,2011
90790,H,2235,H,,142,41,2011
425295,G,9241,G,,326,42,2011
10037,H,210,H,,17,44,2011
96548,H,2674,H,,143,45,2011
29649,G,657,G,,115,46,2011
216946,G,5041,G,,208,47,2011
1211458,G,26063,G,,1006,48,2011
230085,H,0,S,I,140,49,2011
17316,G,396,G,,30,50,2011
92307,G,2390,G,,176,51,2011
100383,G,2453,G,,221,53,2011
26020,G,573,G,,45,54,2011
145098,G,3382,G,,260,55,2011
42674,H,820,H,,73,56,2011
107414,G,2585,G,,176,1,2010
15547,G,206,G,,21,2,2010
85066,G,2289,G,,116,4,2010
120626,H,3501,H,,156,5,2010
