ap,ap_nf,emp,emp_nf,empflag,est,fipstate,year
106485,G,1768,G,,433,1,2011
33444,H,0,S,F,125,2,2011
378777,G,5862,G,,1569,4,2011
71049,G,1321,H,,366,5,2011
3531411,G,40506,G,,7243,6,2011
614207,G,7609,G,,2012,8,2011
440308,G,3375,G,,604,9,2011
67940,G,665,H,,206,10,2011
1494217,G,12366,G,,591,11,2011
1581034,G,21268,G,,6427,12,2011
1253319,G,13048,H,,2339,13,2011
50103,H,682,G,,160,15,2011
37647,G,739,G,,290,16,2011
2818214,G,23591,G,,3442,17,2011
205151,G,3344,G,,832,18,2011
118099,H,1636,H,,324,19,2011
174041,G,2806,G,,535,20,2011
133665,G,2118,G,,467,21,2011
118455,G,2238,G,,554,22,2011
36588,G,538,G,,220,23,2011
1683499,G,19157,G,,2021,24,2011
1664231,G,13178,G,,1534,25,2011
764590,G,7834,G,,1436,26,2011
606072,G,6884,G,,1283,27,2011
49950,G,822,H,,188,28,2011
341638,G,3965,G,,694,29,2011
24875,G,531,G,,210,30,2011
150656,H,2826,H,,256,31,2011
150458,G,2248,G,,855,32,2011
68218,H,941,H,,233,33,2011
1414586,H,16227,H,,2225,34,2011
63283,G,966,H,,292,35,2011
3111994,G,24471,G,,4709,36,2011
781496,H,9394,H,,1977,37,2011
18401,H,0,S,C,79,38,2011
720683,G,9216,G,,1688,39,2011
142040,G,2479,H,,747,40,2011
207160,H,3137,H,,738,41,2011
1424276,G,16205,G,,2114,42,2011
48904,G,933,G,,183,44,2011
182277,G,2574,H,,698,45,2011
15775,G,325,G,,87,46,2011
417289,G,5644,G,,726,47,2011
2907832,G,30722,G,,4798,48,2011
165632,G,3963,G,,930,49,2011
30678,G,494,G,,134,50,2011
5435311,G,51264,G,,2788,51,2011
801807,G,7837,G,,1451,53,2011
65353,G,1106,G,,133,54,2011
247531,G,3674,G,,717,55,2011
32744,G,408,H,,197,56,2011
113609,G,1959,H,,405,1,2010
30964,H,0,S,F,126,2,2010
362587,G,5621,G,,1633,4,2010
64730,G,1365,G,,346,5,2010
3379263,G,39238,G,,6560,6,2010
540627,G,6774,G,,1911,8,2010
444007,G,3817,G,,589,9,2010
67620,G,731,H,,198,10,2010
1323971,G,10672,G,,577,11,2010
1383966,G,20195,G,,6211,12,2010
1150822,G,12300,H,,2204,13,2010
47418,H,851,G,,148,15,2010
33504,G,876,G,,293,16,2010
2882472,G,24155,G,,3336,17,2010
184260,G,3214,G,,826,18,2010
61929,G,1199,G,,321,19,2010
157580,G,2807,G,,517,20,2010
116430,G,1915,G,,441,21,2010
120356,G,2223,H,,504,22,2010
36583,G,520,H,,212,23,2010
1357510,G,15957,G,,1977,24,2010
1595146,G,12323,G,,1473,25,2010
699159,G,7487,G,,1364,26,2010
548421,G,6849,G,,1239,27,2010
36803,G,639,H,,167,28,2010
280630,G,3741,G,,673,29,2010
24153,G,459,H,,197,30,2010
145811,H,2864,H,,251,31,2010
160246,G,2545,G,,807,32,2010
86639,G,1127,H,,239,33,2010
1283461,H,15277,H,,2143,34,2010
59655,G,911,H,,291,35,2010
2902398,G,23363,G,,4364,36,2010
679678,G,8833,G,,1873,37,2010
19999,H,282,H,,74,38,2010
700912,G,9109,G,,1641,39,2010
133537,G,2492,G,,713,40,2010
196737,H,0,S,J,719,41,2010
1318814,G,14192,G,,2144,42,2010
40194,G,807,G,,182,44,2010
175426,G,2427,H,,696,45,2010
20934,H,412,G,,92,46,2010
380128,G,5695,G,,710,47,2010
2542571,G,28709,G,,4458,48,2010
139213,G,3340,G,,831,49,2010
28103,G,485,G,,135,50,2010
5207298,G,48950,G,,2670,51,2010
683707,G,7079,G,,1350,53,2010
58467,G,1015,G,,115,54,2010
163106,G,2716,G,,683,55,2010
19323,G,269,H,,147,56,2010
118426,G,2053,G,,436,1,2009
29452,H,0,S,F,120,2,2009
366969,G,5946,G,,1727,4,2009
55266,G,1154,H,,337,5,2009
3193176,G,41329,G,,6920,6,2009
523657,G,6964,G,,1930,8,2009
457759,G,3502,G,,609,9,2009
39267,G,571,G,,186,10,2009
1145555,G,10184,G,,584,11,2009
1369556,G,19693,G,,6270,12,2009
995359,G,12196,H,,2228,13,2009
44707,H,699,H,,153,15,2009
34525,G,721,G,,288,16,2009
2698224,G,25162,G,,3345,17,2009
196938,G,3343,G,,873,18,2009
64592,G,1276,G,,352,19,2009
159721,G,2718,G,,528,20,2009
131615,H,2059,G,,446,21,2009
114232,G,2076,H,,509,22,2009
32225,G,492,H,,218,23,2009
1232333,G,15330,G,,1966,24,2009
1379536,G,13218,G,,1551,25,2009
625839,G,7527,G,,1353,26,2009
511714,G,7011,G,,1275,27,2009
44921,G,963,H,,193,28,2009
220043,G,3437,G,,716,29,2009
18721,G,485,H,,189,30,2009
172584,H,3117,H,,280,31,2009
166876,G,2649,H,,838,32,2009
87690,H,1035,H,,243,33,2009
1322094,H,16661,H,,2185,34,2009
59693,G,952,G,,315,35,2009
2943076,G,25353,G,,4532,36,2009
556067,G,8054,H,,1797,37,2009
19305,H,271,H,,76,38,2009
736086,G,9561,G,,1652,39,2009
155645,G,2560,G,,704,40,2009
183464,H,2836,H,,734,41,2009
1240197,G,13408,G,,2202,42,2009
32413,G,583,H,,183,44,2009
184963,G,2367,H,,694,45,2009
21787,H,354,G,,89,46,2009
391298,G,4946,G,,755,47,2009
2435155,G,27463,G,,4317,48,2009
120451,H,3301,G,,807,49,2009
26730,G,462,G,,141,50,2009
4673793,G,45204,G,,2668,51,2009
541297,G,5981,G,,1388,53,2009
94221,H,1431,H,,116,54,2009
148570,G,2685,G,,730,55,2009
12272,G,213,H,,143,56,2009
107951,G,1917,G,,428,1,2008
23267,H,0,S,E,84,2,2008
379690,G,6094,H,,1803,4,2008
54484,G,1244,G,,341,5,2008
3558403,G,43874,G,,6553,6,2008
508284,G,6615,G,,1830,8,2008
520868,H,3746,G,,600,9,2008
40715,G,595,G,,184,10,2008
1133135,G,10241,G,,579,11,2008
1730778,G,24845,H,,6408,12,2008
1209742,H,12589,H,,2187,13,2008
44271,H,713,G,,156,15,2008
40956,G,835,G,,279,16,2008
2899529,G,26873,G,,3321,17,2008
193320,G,3104,G,,857,18,2008
66045,G,1256,G,,349,19,2008
178599,G,2471,G,,495,20,2008
130427,G,2399,G,,427,21,2008
119397,G,2361,H,,489,22,2008
36354,G,552,H,,218,23,2008
1115461,G,13923,G,,1931,24,2008
1563604,G,12322,G,,1438,25,2008
827257,G,10793,G,,1230,26,2008
470655,G,5915,G,,1223,27,2008
60953,G,1219,G,,190,28,2008
217799,G,3617,G,,719,29,2008
17909,G,449,H,,184,30,2008
175211,H,3191,H,,269,31,2008
183941,G,2930,H,,814,32,2008
89077,H,1058,H,,248,33,2008
1351427,H,15326,H,,2159,34,2008
59289,G,883,G,,305,35,2008
2970219,G,24108,G,,4335,36,2008
597130,G,9110,H,,1734,37,2008
18412,H,0,S,E,70,38,2008
731094,G,9496,G,,1667,39,2008
161134,G,2897,G,,660,40,2008
237482,G,3116,H,,749,41,2008
1177029,G,12813,G,,2223,42,2008
33501,H,0,S,F,178,44,2008
167266,G,2206,H,,681,45,2008
11023,G,256,G,,77,46,2008
319320,G,4564,G,,763,47,2008
2717888,G,28815,G,,4197,48,2008
124244,H,2910,H,,807,49,2008
24414,G,420,G,,136,50,2008
3885504,G,39632,G,,2623,51,2008
552488,H,5986,H,,1270,53,2008
49548,G,904,G,,110,54,2008
164971,G,2525,G,,676,55,2008
12846,H,248,G,,126,56,2008
108045,G,1928,G,,419,1,2007
22999,G,347,H,,76,2,2007
441977,G,7593,G,,1945,4,2007
41940,G,986,G,,308,5,2007
3529079,G,46664,G,,6687,6,2007
664401,G,8883,G,,1825,8,2007
603375,G,4318,G,,623,9,2007
38824,G,564,G,,182,10,2007
1088905,G,10126,G,,540,11,2007
1572220,G,27619,G,,6507,12,2007
1448833,G,14603,G,,2212,13,2007
42040,G,746,H,,155,15,2007
34955,G,836,G,,300,16,2007
3151438,G,33314,G,,3285,17,2007
194465,G,3729,G,,828,18,2007
83175,G,1372,G,,337,19,2007
125347,G,2013,G,,471,20,2007
143271,G,2875,G,,357,21,2007
134212,G,2614,G,,480,22,2007
30182,G,0,S,E,197,23,2007
1385546,G,19709,G,,1912,24,2007
1477197,G,12701,G,,1546,25,2007
818414,G,12287,H,,1344,26,2007
679790,G,7945,G,,1236,27,2007
26328,G,497,G,,168,28,2007
271824,G,6190,G,,772,29,2007
28571,G,704,H,,182,30,2007
81861,G,1257,G,,248,31,2007
216750,G,3917,G,,878,32,2007
89860,G,0,S,F,242,33,2007
1283660,G,13324,G,,2169,34,2007
74572,G,1197,G,,301,35,2007
3668452,G,30436,G,,4321,36,2007
587302,G,9131,G,,1758,37,2007
59154,H,1597,H,,65,38,2007
702417,G,9521,G,,1710,39,2007
203166,G,4019,G,,663,40,2007
266401,G,3291,G,,743,41,2007
1323896,G,16518,G,,2254,42,2007
50455,G,2032,H,,171,44,2007
200978,G,2462,H,,609,45,2007
11246,G,243,H,,83,46,2007
378029,G,5613,G,,767,47,2007
3467873,G,39302,G,,3978,48,2007
218114,G,3644,G,,771,49,2007
41424,H,584,G,,135,50,2007
3684660,G,47592,G,,2585,51,2007
373284,G,5471,G,,1267,53,2007
39417,G,758,G,,109,54,2007
186960,G,3284,G,,687,55,2007
15715,G,324,H,,141,56,2007
145845,-,2686,-,,371,1,2006
23424,-,343,-,,74,2,2006
432836,-,7290,-,,1889,4,2006
103990,-,3581,-,,296,5,2006
3398894,-,49003,-,,6106,6,2006
611227,-,8554,-,,1650,8,2006
462143,-,4185,-,,635,9,2006
77141,-,1009,-,,190,10,2006
0,-,0,-,I,485,11,2006
1548513,-,28131,-,,6001,12,2006
1430989,-,16761,-,,2045,13,2006
41674,-,869,-,,146,15,2006
31174,-,789,-,,284,16,2006
2997298,-,35068,-,,3080,17,2006
234484,-,4896,-,,823,18,2006
76030,-,1408,-,,314,19,2006
130373,-,2122,-,,480,20,2006
143859,-,3181,-,,359,21,2006
110065,-,2134,-,,459,22,2006
33185,-,495,-,,186,23,2006
1214469,-,17996,-,,1797,24,2006
1377222,-,12208,-,,1437,25,2006
0,-,0,-,J,1346,26,2006
585269,-,10595,-,,1156,27,2006
25330,-,557,-,,156,28,2006
296605,-,7398,-,,750,29,2006
