ap,ap_nf,emp,emp_nf,empflag,est,fipstate,year
0,D,0,D,A,3,1,2011
0,D,0,D,A,2,2,2011
5200,H,0,S,C,18,4,2011
0,D,0,D,C,9,5,2011
45642,G,539,H,,63,6,2011
4986,H,53,G,,9,8,2011
3110,G,52,G,,6,9,2011
0,D,0,D,B,2,10,2011
0,D,0,D,A,6,11,2011
17411,H,329,G,,75,12,2011
0,D,0,D,G,23,13,2011
644,G,0,S,B,4,15,2011
0,D,0,D,B,20,16,2011
58079,H,1000,H,,56,17,2011
831,G,23,H,,7,18,2011
0,D,0,D,A,5,19,2011
5211,H,227,H,,7,20,2011
0,D,0,D,E,7,21,2011
557,H,0,S,B,11,22,2011
0,D,0,D,C,4,23,2011
1416,H,0,S,B,9,24,2011
0,D,0,D,E,13,25,2011
4401,H,71,H,,11,26,2011
7985,G,176,G,,48,27,2011
0,D,0,D,B,5,28,2011
1457,H,0,S,B,7,29,2011
0,D,0,D,B,2,30,2011
0,D,0,D,A,1,31,2011
387,H,12,G,,9,32,2011
0,D,0,D,B,3,33,2011
6778,H,143,H,,25,34,2011
232,H,5,G,,6,35,2011
89602,G,1247,G,,53,36,2011
0,D,0,D,E,11,37,2011
0,D,0,D,B,2,38,2011
4158,H,77,H,,10,39,2011
744,G,0,S,A,6,40,2011
0,D,0,D,B,8,41,2011
7525,H,129,H,,27,42,2011
0,D,0,D,A,10,45,2011
0,D,0,D,A,2,46,2011
0,D,0,D,B,5,47,2011
28618,G,1131,H,,108,48,2011
20538,H,284,H,,24,49,2011
7764,G,171,G,,68,51,2011
91267,G,899,G,,13,53,2011
324,H,0,S,A,3,54,2011
1013,H,11,G,,3,55,2011
177,H,3,G,,4,56,2011
0,D,0,D,A,3,1,2010
0,D,0,D,A,1,2,2010
3919,H,100,H,,15,4,2010
0,D,0,D,B,9,5,2010
43681,G,603,H,,66,6,2010
0,D,0,D,B,9,8,2010
3141,G,50,G,,6,9,2010
721,H,23,G,,4,10,2010
2350,H,18,G,,7,11,2010
13705,H,248,H,,55,12,2010
0,D,0,D,F,26,13,2010
917,H,0,S,B,4,15,2010
872,H,29,G,,15,16,2010
59021,H,1027,H,,58,17,2010
937,G,27,H,,7,18,2010
127,H,0,S,A,3,19,2010
6898,H,384,H,,5,20,2010
0,D,0,D,E,7,21,2010
359,H,25,H,,7,22,2010
0,D,0,D,C,3,23,2010
1400,G,0,S,B,11,24,2010
0,D,0,D,E,10,25,2010
2406,G,40,H,,9,26,2010
6735,G,136,G,,46,27,2010
0,D,0,D,B,3,28,2010
1729,H,0,S,B,10,29,2010
0,D,0,D,B,2,30,2010
0,D,0,D,A,1,31,2010
629,G,0,S,A,11,32,2010
0,D,0,D,B,3,33,2010
6319,H,124,H,,24,34,2010
199,H,5,G,,3,35,2010
82140,G,976,G,,58,36,2010
0,D,0,D,F,12,37,2010
2080,H,57,G,,13,39,2010
615,H,0,S,A,5,40,2010
0,D,0,D,B,8,41,2010
13474,G,254,H,,32,42,2010
0,D,0,D,B,9,45,2010
0,D,0,D,A,1,46,2010
0,D,0,D,B,6,47,2010
18597,H,0,S,F,73,48,2010
13882,H,257,H,,21,49,2010
20796,H,198,G,,58,51,2010
93535,G,918,G,,16,53,2010
0,D,0,D,A,2,54,2010
993,H,0,S,A,3,55,2010
115,G,3,G,,3,56,2010
0,D,0,D,A,3,1,2009
0,D,0,D,A,2,2,2009
4577,H,139,H,,15,4,2009
0,D,0,D,B,6,5,2009
43148,G,702,H,,69,6,2009
1924,G,24,H,,10,8,2009
3846,G,85,G,,10,9,2009
605,H,0,S,A,4,10,2009
341,G,0,S,A,4,11,2009
10603,H,0,S,E,46,12,2009
0,D,0,D,F,22,13,2009
1049,H,44,H,,4,15,2009
612,G,0,S,A,15,16,2009
0,D,0,D,G,56,17,2009
995,G,31,H,,8,18,2009
0,D,0,D,A,2,19,2009
10137,H,526,H,,5,20,2009
998,H,0,S,A,6,21,2009
305,H,19,G,,6,22,2009
0,D,0,D,E,3,23,2009
1322,H,0,S,B,14,24,2009
0,D,0,D,E,7,25,2009
1921,G,38,H,,10,26,2009
4706,G,169,H,,41,27,2009
0,D,0,D,B,3,28,2009
