ap,ap_nf,emp,emp_nf,empflag,est,fipstate,year
189755,H,2873,H,,20,1,2011
0,D,0,D,A,1,2,2011
105584,G,1718,G,,28,4,2011
0,D,0,D,A,1,5,2011
3882955,G,36915,G,,324,6,2011
171673,G,1997,G,,37,8,2011
133878,H,1822,H,,32,9,2011
2657,H,50,G,,4,10,2011
769507,H,10604,H,,89,12,2011
198243,H,2340,H,,34,13,2011
0,D,0,D,E,5,16,2011
301787,G,4655,G,,71,17,2011
116918,H,2254,H,,16,18,2011
0,D,0,D,F,7,19,2011
19826,G,478,H,,5,20,2011
0,D,0,D,F,8,21,2011
0,D,0,D,B,6,22,2011
39954,H,983,H,,11,23,2011
320866,H,3326,G,,40,24,2011
721315,H,4277,G,,66,25,2011
58578,H,1014,H,,28,26,2011
69743,G,1114,G,,24,27,2011
0,D,0,D,E,6,28,2011
76297,H,2046,H,,18,29,2011
0,D,0,D,C,3,30,2011
0,D,0,D,F,6,31,2011
0,D,0,D,G,17,32,2011
20749,G,300,G,,21,33,2011
253121,G,3164,G,,69,34,2011
786,H,0,S,A,4,35,2011
506682,G,6699,G,,93,36,2011
71699,G,1263,G,,29,37,2011
934,H,0,S,B,5,38,2011
93952,H,0,S,G,29,39,2011
13058,G,257,H,,10,40,2011
24705,H,491,H,,19,41,2011
188830,G,3023,G,,48,42,2011
0,D,0,D,E,4,44,2011
20665,H,304,H,,9,45,2011
0,D,0,D,A,2,46,2011
7833,H,167,H,,8,47,2011
955710,G,10476,G,,119,48,2011
53001,G,621,G,,20,49,2011
0,D,0,D,B,4,50,2011
115107,H,1722,H,,28,51,2011
65261,H,993,G,,44,53,2011
0,D,0,D,A,2,54,2011
287610,H,2044,H,,19,55,2011
0,D,0,D,A,1,56,2011
0,D,0,D,H,21,1,2010
0,D,0,D,A,1,2,2010
115741,G,2037,G,,30,4,2010
0,D,0,D,A,1,5,2010
3969302,G,38647,G,,346,6,2010
137493,G,1832,G,,38,8,2010
