ap,ap_nf,emp,emp_nf,empflag,est,fipstate,year
5758,G,0,S,C,103,1,2011
1675,G,36,H,,12,2,2011
22316,G,628,G,,222,4,2011
3328,H,0,S,C,58,5,2011
299755,G,5379,G,,1520,6,2011
39905,G,991,G,,370,8,2011
13031,G,302,H,,133,9,2011
3302,G,0,S,B,31,10,2011
22824,G,0,S,E,62,11,2011
115025,G,3220,G,,1410,12,2011
52879,G,1149,G,,422,13,2011
4827,G,106,G,,30,15,2011
1855,H,57,G,,28,16,2011
66554,G,1581,H,,584,17,2011
0,D,0,D,F,145,18,2011
3570,G,0,S,C,52,19,2011
4463,G,186,H,,77,20,2011
6223,G,175,G,,89,21,2011
8227,G,287,G,,95,22,2011
937,G,31,G,,21,23,2011
31504,G,667,H,,217,24,2011
43712,G,729,H,,259,25,2011
16381,G,492,G,,218,26,2011
18635,G,454,G,,206,27,2011
3951,G,121,G,,37,28,2011
10760,G,347,G,,122,29,2011
1586,G,69,G,,37,30,2011
6110,G,165,G,,56,31,2011
14937,H,336,H,,80,32,2011
1484,G,51,G,,27,33,2011
31593,G,726,G,,330,34,2011
2057,H,73,G,,42,35,2011
237828,G,3854,G,,1198,36,2011
23202,G,797,H,,311,37,2011
592,H,28,G,,12,38,2011
33724,G,719,G,,212,39,2011
7847,G,0,S,E,91,40,2011
18828,H,480,G,,130,41,2011
53111,G,1018,G,,256,42,2011
5779,G,137,H,,39,44,2011
12487,H,423,G,,155,45,2011
466,H,0,S,A,11,46,2011
16682,G,350,G,,130,47,2011
104192,G,2251,G,,723,48,2011
7902,G,239,G,,91,49,2011
1764,H,42,H,,17,50,2011
34228,G,921,H,,318,51,2011
22049,G,608,H,,217,53,2011
1485,G,0,S,B,15,54,2011
10851,G,321,H,,97,55,2011
1582,G,0,S,B,17,56,2011
5633,G,207,H,,102,1,2010
1757,G,44,H,,11,2,2010
21804,G,633,H,,244,4,2010
2907,H,0,S,C,57,5,2010
315597,G,4974,G,,1531,6,2010
38406,G,1021,G,,397,8,2010
12805,G,299,H,,136,9,2010
3557,G,89,G,,29,10,2010
38858,G,522,G,,61,11,2010
117799,G,3456,G,,1442,12,2010
51047,G,1177,G,,432,13,2010
4819,G,0,S,C,32,15,2010
2137,H,71,H,,28,16,2010
62815,G,1513,G,,607,17,2010
14566,G,468,G,,147,18,2010
3175,G,0,S,C,59,19,2010
4485,G,182,G,,80,20,2010
6295,G,198,G,,83,21,2010
7984,G,287,G,,88,22,2010
1022,G,0,S,B,25,23,2010
28489,G,690,G,,214,24,2010
41674,G,707,G,,268,25,2010
15623,G,485,G,,215,26,2010
19273,G,532,H,,204,27,2010
3827,G,129,G,,39,28,2010
10606,G,337,G,,137,29,2010
1860,G,80,H,,37,30,2010
6008,G,165,G,,57,31,2010
10036,H,244,H,,84,32,2010
1416,G,45,H,,23,33,2010
31755,G,779,G,,334,34,2010
2255,G,131,H,,42,35,2010
230473,G,3863,G,,1232,36,2010
22982,G,745,G,,312,37,2010
430,G,0,S,B,13,38,2010
29002,G,719,G,,220,39,2010
7701,G,256,H,,93,40,2010
18081,H,481,G,,123,41,2010
53517,G,1072,G,,265,42,2010
6600,G,158,H,,43,44,2010
12241,G,454,G,,158,45,2010
532,H,0,S,B,12,46,2010
15599,G,405,H,,135,47,2010
101621,G,2551,G,,724,48,2010
7226,G,254,H,,96,49,2010
1718,H,41,G,,17,50,2010
32902,G,875,H,,329,51,2010
18872,G,659,G,,228,53,2010
1414,G,0,S,B,19,54,2010
11079,G,329,H,,107,55,2010
1539,G,0,S,B,17,56,2010
5971,G,250,H,,107,1,2009
1497,G,0,S,B,10,2,2009
26755,G,743,G,,266,4,2009
3238,H,0,S,C,60,5,2009
288106,G,6159,G,,1629,6,2009
45570,G,1178,G,,420,8,2009
14488,G,353,G,,137,9,2009
