ap,ap_nf,emp,emp_nf,empflag,est,fipstate,year
86989,H,1398,G,,54,1,2011
9352,G,154,G,,23,2,2011
233718,G,4090,G,,104,4,2011
29533,H,618,H,,35,5,2011
1027031,G,20270,H,,606,6,2011
155659,H,2365,G,,81,8,2011
108584,G,1484,G,,66,9,2011
5597,H,117,H,,11,10,2011
0,D,0,D,F,12,11,2011
626325,G,11696,G,,330,12,2011
212560,G,3375,G,,139,13,2011
30423,G,481,G,,26,15,2011
15196,H,350,H,,18,16,2011
381853,G,6574,G,,215,17,2011
165546,G,2834,G,,95,18,2011
69002,G,1370,G,,68,19,2011
74079,G,1342,H,,50,20,2011
151597,G,2766,G,,69,21,2011
131971,H,2302,H,,84,22,2011
34275,G,530,G,,25,23,2011
150665,G,2157,G,,94,24,2011
210955,G,2810,G,,121,25,2011
204193,G,5961,G,,150,26,2011
284171,H,4066,H,,104,27,2011
47188,H,904,H,,53,28,2011
145210,H,2482,H,,108,29,2011
41874,G,936,G,,22,30,2011
27637,H,515,H,,20,31,2011
58437,G,1095,G,,56,32,2011
44064,H,779,H,,29,33,2011
351375,G,5140,H,,138,34,2011
15874,H,0,S,E,32,35,2011
442392,G,6683,G,,308,36,2011
116182,G,1965,G,,117,37,2011
25389,H,517,G,,13,38,2011
417346,G,8613,G,,235,39,2011
28223,G,651,G,,56,40,2011
79806,G,1457,G,,58,41,2011
363004,G,6201,G,,227,42,2011
12988,H,0,S,C,18,44,2011
57379,H,1126,H,,47,45,2011
7608,H,141,H,,13,46,2011
264622,G,4353,G,,85,47,2011
483338,G,8151,G,,333,48,2011
66211,G,1583,G,,57,49,2011
7096,H,124,H,,10,50,2011
372080,H,5266,H,,98,51,2011
129212,G,2192,H,,100,53,2011
0,D,0,D,F,17,54,2011
277350,G,5582,G,,109,55,2011
299,G,6,G,,3,56,2011
81742,G,1419,G,,55,1,2010
9099,G,164,G,,24,2,2010
238689,G,3978,G,,114,4,2010
27261,H,645,H,,35,5,2010
1000617,G,19054,G,,612,6,2010
140678,G,2231,G,,84,8,2010
107259,G,1715,G,,66,9,2010
5662,H,116,H,,10,10,2010
4602,H,0,S,B,11,11,2010
594622,G,11160,G,,344,12,2010
215570,G,3479,G,,142,13,2010
34032,G,448,H,,25,15,2010
11889,H,296,H,,17,16,2010
357014,G,6128,G,,216,17,2010
152499,G,2737,G,,98,18,2010
63796,G,1428,G,,67,19,2010
70760,G,1338,G,,56,20,2010
149202,G,3011,G,,65,21,2010
125313,H,2261,H,,82,22,2010
32749,G,581,G,,21,23,2010
148087,G,2176,G,,102,24,2010
180684,G,2515,G,,120,25,2010
187320,G,5674,H,,150,26,2010
255519,H,3931,H,,108,27,2010
40361,H,855,H,,52,28,2010
141415,H,2599,H,,107,29,2010
37730,G,892,G,,22,30,2010
35250,H,632,H,,23,31,2010
61248,G,1252,G,,62,32,2010
45551,H,824,H,,32,33,2010
346935,G,5329,G,,139,34,2010
0,D,0,D,F,32,35,2010
421622,G,6782,G,,298,36,2010
100595,G,1813,H,,110,37,2010
21448,H,459,G,,14,38,2010
348964,G,7899,G,,252,39,2010
32703,G,808,G,,56,40,2010
76837,G,1576,G,,66,41,2010
352304,G,6388,G,,241,42,2010
95352,H,979,H,,20,44,2010
57596,H,1162,H,,48,45,2010
6231,H,110,H,,9,46,2010
307962,G,4343,G,,89,47,2010
494397,G,8911,G,,340,48,2010
40846,H,821,H,,50,49,2010
0,D,0,D,C,10,50,2010
343934,H,5082,H,,97,51,2010
125148,G,2201,G,,101,53,2010
0,D,0,D,F,19,54,2010
255321,G,5183,G,,111,55,2010
0,D,0,D,B,3,56,2010
87935,H,1521,H,,61,1,2009
8418,G,182,G,,23,2,2009
235790,G,4271,G,,111,4,2009
26574,H,650,H,,36,5,2009
1140635,G,20914,G,,647,6,2009
134774,G,2347,G,,84,8,2009
94625,G,1432,G,,65,9,2009
4508,H,89,G,,9,10,2009
3893,H,0,S,B,9,11,2009
554903,G,11798,G,,363,12,2009
203493,G,3495,G,,147,13,2009
26728,G,435,G,,25,15,2009
11641,H,0,S,E,18,16,2009
347291,G,6347,G,,226,17,2009
137514,G,2744,G,,100,18,2009
55844,G,1506,H,,67,19,2009
76648,G,1476,H,,59,20,2009
156950,G,2963,G,,63,21,2009
118351,H,2167,H,,83,22,2009
47015,G,852,H,,27,23,2009
148735,G,2408,G,,110,24,2009
187641,G,2956,G,,125,25,2009
164934,G,5399,H,,148,26,2009
261859,H,3921,H,,105,27,2009
40254,G,870,G,,56,28,2009
137128,H,2524,H,,109,29,2009
45433,G,1078,H,,26,30,2009
26093,H,550,G,,21,31,2009
53741,G,1038,G,,60,32,2009
42992,G,780,G,,35,33,2009
313970,G,4923,G,,153,34,2009
0,D,0,D,F,34,35,2009
444557,G,7358,G,,320,36,2009
94351,H,1811,H,,107,37,2009
16362,H,393,G,,12,38,2009
334465,G,7010,G,,261,39,2009
33816,G,846,G,,59,40,2009
73087,G,1518,G,,68,41,2009
366365,G,6878,G,,251,42,2009
95385,H,1029,H,,19,44,2009
66671,H,1350,H,,51,45,2009
6023,H,112,H,,11,46,2009
170892,G,3322,G,,92,47,2009
987316,H,13343,H,,361,48,2009
43818,H,1008,H,,54,49,2009
0,D,0,D,C,8,50,2009
279307,H,4361,H,,104,51,2009
123130,G,2258,G,,103,53,2009
22342,H,0,S,F,21,54,2009
243669,G,5315,G,,111,55,2009
0,D,0,D,B,3,56,2009
73229,H,1280,H,,59,1,2008
9421,G,180,G,,24,2,2008
250782,G,4697,G,,125,4,2008
25557,H,639,H,,33,5,2008
1110904,G,19885,G,,699,6,2008
136641,H,2325,H,,86,8,2008
105069,G,1904,G,,73,9,2008
4330,H,85,H,,11,10,2008
3547,G,44,H,,8,11,2008
627375,G,14798,H,,361,12,2008
191098,G,3403,G,,141,13,2008
25669,G,410,G,,24,15,2008
11358,H,298,H,,18,16,2008
352867,G,6331,G,,246,17,2008
141449,G,2618,G,,102,18,2008
66402,G,1424,G,,70,19,2008
73786,G,1335,G,,60,20,2008
97538,H,1859,H,,60,21,2008
103853,H,2062,H,,74,22,2008
43068,H,817,H,,30,23,2008
185536,H,2752,G,,109,24,2008
218844,G,3080,G,,115,25,2008
166887,G,5398,H,,158,26,2008
215461,H,3308,H,,105,27,2008
36401,G,810,G,,51,28,2008
190566,H,3561,H,,109,29,2008
39359,G,979,G,,24,30,2008
20113,H,473,G,,22,31,2008
57912,G,1134,G,,60,32,2008
40894,G,788,G,,32,33,2008
327696,G,4958,G,,156,34,2008
0,D,0,D,F,36,35,2008
472287,G,7316,G,,330,36,2008
92753,H,1810,H,,110,37,2008
1307,H,0,S,B,6,38,2008
327411,G,7026,G,,251,39,2008
39504,G,930,G,,57,40,2008
77398,G,1995,G,,71,41,2008
367445,G,6473,G,,260,42,2008
109341,H,1279,H,,23,44,2008
68493,G,1357,G,,50,45,2008
0,D,0,D,B,9,46,2008
168967,H,3529,G,,91,47,2008
972219,H,13394,H,,359,48,2008
73608,G,1524,H,,54,49,2008
10235,H,210,H,,10,50,2008
220729,H,3790,H,,109,51,2008
118393,G,2255,G,,110,53,2008
27357,H,948,H,,20,54,2008
234609,G,4984,G,,111,55,2008
0,D,0,D,B,3,56,2008
52604,H,884,G,,57,1,2007
8401,G,198,G,,13,2,2007
167151,G,3963,G,,146,4,2007
20638,H,479,G,,43,5,2007
969367,G,15761,G,,658,6,2007
101228,H,1777,H,,84,8,2007
120811,G,1595,G,,79,9,2007
25256,G,432,G,,16,10,2007
32458,H,370,H,,13,11,2007
602476,G,10881,G,,376,12,2007
275264,H,3633,G,,170,13,2007
18901,G,307,G,,19,15,2007
11625,H,298,H,,21,16,2007
323504,G,5999,H,,253,17,2007
137234,H,2667,H,,106,18,2007
98296,G,1762,G,,76,19,2007
88590,G,2155,G,,60,20,2007
97699,H,1834,H,,57,21,2007
70947,H,1430,H,,85,22,2007
25510,H,450,H,,25,23,2007
254564,H,3012,G,,124,24,2007
230897,G,3034,G,,140,25,2007
138475,G,2669,G,,151,26,2007
157841,G,2811,G,,108,27,2007
29948,G,611,G,,49,28,2007
107552,G,1926,G,,114,29,2007
33786,G,966,G,,23,30,2007
38652,G,789,G,,32,31,2007
55974,G,917,G,,59,32,2007
29130,G,599,G,,27,33,2007
548504,H,6805,H,,152,34,2007
15903,G,0,S,F,32,35,2007
439766,G,7276,G,,348,36,2007
138803,G,2113,G,,122,37,2007
1607,H,37,H,,5,38,2007
291389,G,6510,G,,256,39,2007
28711,G,665,G,,64,40,2007
77059,G,1941,G,,80,41,2007
462746,G,6676,G,,279,42,2007
22754,G,398,G,,22,44,2007
38675,G,752,G,,48,45,2007
15699,G,513,G,,15,46,2007
145372,G,2773,G,,109,47,2007
495986,G,10653,G,,361,48,2007
83635,G,1763,G,,66,49,2007
9998,G,207,H,,15,50,2007
219642,H,3817,G,,111,51,2007
121957,G,2604,G,,93,53,2007
27240,H,0,S,G,21,54,2007
223520,G,4552,G,,112,55,2007
0,D,0,D,B,3,56,2007
25609,-,514,-,,51,1,2006
0,-,0,-,C,10,2,2006
114047,-,2285,-,,109,4,2006
21947,-,555,-,,45,5,2006
1088025,-,28058,-,,631,6,2006
109343,-,2133,-,,97,8,2006
310807,-,7760,-,,82,9,2006
0,-,0,-,C,10,10,2006
0,-,0,-,E,11,11,2006
618557,-,11434,-,,351,12,2006
274752,-,4097,-,,169,13,2006
19207,-,350,-,,22,15,2006
9442,-,283,-,,18,16,2006
268320,-,5405,-,,239,17,2006
139707,-,2860,-,,110,18,2006
59562,-,1238,-,,66,19,2006
71237,-,1679,-,,53,20,2006
80592,-,1469,-,,59,21,2006
69821,-,1293,-,,84,22,2006
0,-,0,-,E,24,23,2006
144437,-,2187,-,,91,24,2006
156139,-,2752,-,,141,25,2006
139758,-,2692,-,,152,26,2006
205158,-,3442,-,,112,27,2006
29374,-,647,-,,44,28,2006
146905,-,2995,-,,106,29,2006
0,-,0,-,G,23,30,2006
53434,-,884,-,,28,31,2006
51831,-,917,-,,69,32,2006
23623,-,479,-,,26,33,2006
481624,-,6240,-,,146,34,2006
12391,-,339,-,,30,35,2006
419660,-,8168,-,,342,36,2006
