ap,ap_nf,emp,emp_nf,empflag,est,fipstate,year
0,D,0,D,B,2,1,2011
0,D,0,D,A,1,4,2011
0,D,0,D,B,3,5,2011
15795,G,368,G,,12,6,2011
0,D,0,D,B,3,8,2011
0,D,0,D,C,2,9,2011
11649,H,239,H,,5,12,2011
0,D,0,D,C,1,13,2011
0,D,0,D,A,1,16,2011
44804,H,886,G,,11,17,2011
0,D,0,D,E,5,18,2011
0,D,0,D,B,2,19,2011
0,D,0,D,B,1,20,2011
0,D,0,D,C,4,21,2011
0,D,0,D,A,1,22,2011
9327,G,128,H,,5,25,2011
0,D,0,D,C,6,26,2011
6288,G,116,G,,6,27,2011
0,D,0,D,A,1,28,2011
0,D,0,D,F,3,29,2011
0,D,0,D,A,1,31,2011
0,D,0,D,B,1,32,2011
0,D,0,D,A,1,34,2011
0,D,0,D,E,5,36,2011
0,D,0,D,C,5,37,2011
47918,G,893,G,,16,39,2011
0,D,0,D,C,1,40,2011
0,D,0,D,A,1,41,2011
0,D,0,D,E,8,42,2011
0,D,0,D,B,2,45,2011
0,D,0,D,F,5,46,2011
0,D,0,D,B,2,47,2011
0,D,0,D,C,7,48,2011
0,D,0,D,B,1,49,2011
0,D,0,D,A,1,50,2011
0,D,0,D,A,2,51,2011
0,D,0,D,A,1,53,2011
17079,H,0,S,E,7,55,2011
0,D,0,D,B,2,1,2010
0,D,0,D,A,1,4,2010
0,D,0,D,B,3,5,2010
15014,G,382,G,,12,6,2010
0,D,0,D,B,3,8,2010
0,D,0,D,C,2,9,2010
11877,H,283,H,,8,12,2010
0,D,0,D,C,1,13,2010
0,D,0,D,A,1,16,2010
42087,H,868,G,,11,17,2010
0,D,0,D,E,5,18,2010
2918,H,0,S,B,3,19,2010
0,D,0,D,B,1,20,2010
0,D,0,D,C,4,21,2010
0,D,0,D,A,1,22,2010
8901,G,123,H,,5,25,2010
0,D,0,D,C,6,26,2010
6086,G,122,G,,7,27,2010
0,D,0,D,A,1,28,2010
0,D,0,D,F,3,29,2010
0,D,0,D,B,1,32,2010
0,D,0,D,A,3,34,2010
0,D,0,D,E,5,36,2010
0,D,0,D,C,5,37,2010
41939,G,842,G,,17,39,2010
0,D,0,D,C,1,40,2010
0,D,0,D,A,2,41,2010
0,D,0,D,E,8,42,2010
0,D,0,D,B,2,45,2010
0,D,0,D,F,5,46,2010
0,D,0,D,B,2,47,2010
0,D,0,D,C,7,48,2010
0,D,0,D,B,1,49,2010
0,D,0,D,A,3,51,2010
0,D,0,D,B,2,53,2010
15000,H,0,S,E,7,55,2010
0,D,0,D,B,2,1,2009
0,D,0,D,A,1,4,2009
0,D,0,D,C,3,5,2009
20878,H,488,H,,14,6,2009
0,D,0,D,B,3,8,2009
0,D,0,D,C,2,9,2009
11273,H,292,H,,8,12,2009
0,D,0,D,C,2,13,2009
0,D,0,D,A,1,16,2009
46110,H,1015,H,,11,17,2009
0,D,0,D,E,5,18,2009
2887,H,0,S,B,3,19,2009
0,D,0,D,B,1,20,2009
0,D,0,D,C,3,21,2009
0,D,0,D,A,1,22,2009
8148,G,130,G,,5,25,2009
7168,H,163,H,,6,26,2009
5629,G,135,G,,7,27,2009
0,D,0,D,A,1,28,2009
0,D,0,D,F,4,29,2009
0,D,0,D,B,1,31,2009
0,D,0,D,B,1,32,2009
0,D,0,D,A,3,34,2009
0,D,0,D,E,5,36,2009
0,D,0,D,C,3,37,2009
38020,G,914,G,,16,39,2009
0,D,0,D,C,1,40,2009
0,D,0,D,A,1,41,2009
0,D,0,D,F,9,42,2009
0,D,0,D,C,2,45,2009
0,D,0,D,F,5,46,2009
0,D,0,D,B,2,47,2009
0,D,0,D,C,7,48,2009
0,D,0,D,B,1,49,2009
0,D,0,D,A,3,51,2009
0,D,0,D,C,2,53,2009
15115,H,0,S,E,7,55,2009
0,D,0,D,B,1,1,2008
0,D,0,D,C,4,5,2008
26174,G,606,G,,14,6,2008
0,D,0,D,B,2,8,2008
0,D,0,D,C,1,9,2008
13393,H,332,H,,7,12,2008
0,D,0,D,C,1,13,2008
0,D,0,D,A,1,16,2008
63045,H,1421,H,,12,17,2008
0,D,0,D,E,4,18,2008
0,D,0,D,B,3,19,2008
0,D,0,D,B,1,20,2008
19568,G,482,G,,4,21,2008
0,D,0,D,A,1,22,2008
8090,G,131,G,,5,25,2008
8400,H,194,H,,8,26,2008
7008,G,153,G,,8,27,2008
0,D,0,D,F,4,29,2008
0,D,0,D,B,1,32,2008
0,D,0,D,B,3,34,2008
0,D,0,D,E,5,36,2008
0,D,0,D,C,4,37,2008
49282,H,1023,G,,16,39,2008
0,D,0,D,E,2,40,2008
0,D,0,D,A,1,41,2008
0,D,0,D,F,10,42,2008
0,D,0,D,B,1,45,2008
0,D,0,D,F,5,46,2008
0,D,0,D,B,2,47,2008
22058,H,489,H,,10,48,2008
0,D,0,D,B,1,49,2008
0,D,0,D,B,3,51,2008
0,D,0,D,B,3,53,2008
23535,H,0,S,E,8,55,2008
21649,H,500,H,,4,1,2007
0,D,0,D,C,3,5,2007
22668,G,470,G,,11,6,2007
0,D,0,D,C,3,8,2007
0,D,0,D,E,2,9,2007
0,D,0,D,B,1,10,2007
13535,H,347,H,,7,12,2007
0,D,0,D,B,2,13,2007
0,D,0,D,A,1,16,2007
56109,H,1431,H,,11,17,2007
0,D,0,D,F,5,18,2007
0,D,0,D,B,4,19,2007
