ap,ap_nf,emp,emp_nf,empflag,est,fipstate,year
0,D,0,D,H,5,1,2011
0,D,0,D,A,2,4,2011
0,D,0,D,G,4,5,2011
2825,G,89,H,,5,6,2011
0,D,0,D,A,1,8,2011
0,D,0,D,C,2,12,2011
66087,H,1255,H,,7,13,2011
198815,G,3600,H,,5,17,2011
0,D,0,D,G,2,18,2011
0,D,0,D,G,6,19,2011
0,D,0,D,G,1,20,2011
1031,H,0,S,A,3,21,2011
0,D,0,D,A,1,22,2011
0,D,0,D,A,1,25,2011
0,D,0,D,G,2,28,2011
0,D,0,D,C,4,29,2011
0,D,0,D,A,1,31,2011
0,D,0,D,G,6,36,2011
294133,H,5261,H,,9,37,2011
0,D,0,D,H,6,39,2011
0,D,0,D,H,3,40,2011
0,D,0,D,B,3,41,2011
0,D,0,D,F,4,42,2011
0,D,0,D,H,7,45,2011
0,D,0,D,A,1,46,2011
0,D,0,D,H,7,47,2011
0,D,0,D,C,4,48,2011
0,D,0,D,H,3,51,2011
0,D,0,D,B,4,53,2011
0,D,0,D,A,1,54,2011
0,D,0,D,A,1,55,2011
218701,G,3890,G,,6,1,2010
0,D,0,D,A,2,4,2010
0,D,0,D,G,4,5,2010
2644,G,86,H,,4,6,2010
0,D,0,D,A,2,8,2010
0,D,0,D,C,2,12,2010
60482,H,1051,H,,7,13,2010
174149,G,3344,H,,5,17,2010
0,D,0,D,G,4,18,2010
0,D,0,D,G,6,19,2010
0,D,0,D,G,1,20,2010
0,D,0,D,A,2,21,2010
0,D,0,D,A,1,22,2010
0,D,0,D,C,1,23,2010
0,D,0,D,A,1,25,2010
0,D,0,D,G,2,28,2010
8460,H,201,H,,3,29,2010
0,D,0,D,A,1,31,2010
0,D,0,D,G,6,36,2010
306631,H,5277,H,,9,37,2010
0,D,0,D,G,7,39,2010
0,D,0,D,H,3,40,2010
0,D,0,D,B,3,41,2010
29452,H,871,G,,4,42,2010
0,D,0,D,H,5,45,2010
0,D,0,D,A,1,46,2010
0,D,0,D,H,7,47,2010
8091,H,207,H,,6,48,2010
0,D,0,D,A,1,49,2010
0,D,0,D,G,3,51,2010
0,D,0,D,A,4,53,2010
0,D,0,D,A,1,54,2010
0,D,0,D,A,1,55,2010
246295,G,4723,H,,6,1,2009
0,D,0,D,A,2,4,2009
0,D,0,D,G,4,5,2009
2667,G,96,G,,3,6,2009
0,D,0,D,A,3,8,2009
0,D,0,D,C,2,12,2009
94506,G,2401,H,,10,13,2009
147411,G,3399,H,,5,17,2009
0,D,0,D,G,4,18,2009
0,D,0,D,G,6,19,2009
0,D,0,D,G,1,20,2009
0,D,0,D,A,2,21,2009
0,D,0,D,A,1,22,2009
0,D,0,D,A,1,25,2009
0,D,0,D,A,1,26,2009
0,D,0,D,G,2,28,2009
8981,H,208,H,,4,29,2009
0,D,0,D,A,1,31,2009
0,D,0,D,G,7,36,2009
272486,H,5434,H,,9,37,2009
