ap,ap_nf,emp,emp_nf,empflag,est,fipstate,year
3290,G,0,S,C,155,1,2011
552,G,0,S,A,24,2,2011
3445,G,0,S,C,198,4,2011
2262,G,159,H,,104,5,2011
45055,G,0,S,G,2214,6,2011
4919,G,0,S,E,270,8,2011
3224,G,0,S,C,134,9,2011
1162,G,0,S,B,44,10,2011
1923,G,0,S,B,87,11,2011
11714,G,0,S,F,566,12,2011
5740,G,366,G,,312,13,2011
789,G,35,H,,42,15,2011
1152,G,85,H,,81,16,2011
6877,G,0,S,E,350,17,2011
4613,G,285,H,,171,18,2011
2020,G,0,S,C,129,19,2011
2732,G,0,S,C,126,20,2011
10291,G,616,H,,601,21,2011
3706,G,0,S,C,177,22,2011
1081,H,0,S,B,71,23,2011
4272,G,0,S,C,213,24,2011
13445,G,0,S,F,421,25,2011
7034,G,0,S,F,478,26,2011
3771,G,211,H,,218,27,2011
2149,G,139,H,,107,28,2011
22544,G,0,S,H,3853,29,2011
846,G,0,S,B,68,30,2011
1125,G,0,S,B,88,31,2011
3057,G,0,S,C,104,32,2011
1057,G,0,S,B,61,33,2011
6273,G,0,S,E,282,34,2011
1190,G,62,G,,57,35,2011
22826,G,896,H,,912,36,2011
6334,G,0,S,F,359,37,2011
1221,G,0,S,B,45,38,2011
7044,G,0,S,E,340,39,2011
2200,G,147,H,,125,40,2011
3429,G,200,H,,215,41,2011
7459,G,0,S,E,334,42,2011
785,G,0,S,B,42,44,2011
2815,G,205,H,,172,45,2011
925,G,65,G,,55,46,2011
4080,G,248,H,,215,47,2011
24342,G,1406,H,,1298,48,2011
1211,G,0,S,B,73,49,2011
936,G,0,S,B,55,50,2011
6214,G,0,S,E,352,51,2011
7017,G,0,S,E,387,53,2011
987,G,0,S,C,59,54,2011
3668,G,0,S,E,342,55,2011
1356,G,75,H,,57,56,2011
3623,G,248,H,,201,1,2010
954,G,0,S,B,38,2,2010
3979,G,0,S,C,204,4,2010
2165,G,0,S,C,115,5,2010
49447,G,0,S,H,2340,6,2010
5961,G,384,G,,279,8,2010
3318,G,179,H,,147,9,2010
1158,G,61,G,,43,10,2010
1863,G,121,H,,84,11,2010
13748,G,720,H,,661,12,2010
6750,G,327,H,,358,13,2010
