ap,ap_nf,emp,emp_nf,empflag,est,fipstate,year
0,D,0,D,C,15,1,2011
6526,H,0,S,C,6,4,2011
0,D,0,D,B,3,5,2011
0,D,0,D,G,47,6,2011
0,D,0,D,C,6,8,2011
0,D,0,D,C,3,9,2011
0,D,0,D,B,3,10,2011
4254,G,86,H,,11,12,2011
0,D,0,D,C,10,13,2011
0,D,0,D,B,6,16,2011
15894,H,0,S,E,15,17,2011
0,D,0,D,E,19,18,2011
0,D,0,D,B,7,19,2011
8077,H,0,S,C,10,20,2011
21172,H,314,H,,7,21,2011
79024,H,0,S,F,22,22,2011
0,D,0,D,B,2,23,2011
6380,H,0,S,B,5,24,2011
0,D,0,D,B,7,25,2011
0,D,0,D,E,10,26,2011
0,D,0,D,C,8,27,2011
0,D,0,D,C,12,28,2011
0,D,0,D,B,5,29,2011
0,D,0,D,A,2,30,2011
0,D,0,D,C,7,31,2011
0,D,0,D,A,2,32,2011
0,D,0,D,B,1,33,2011
0,D,0,D,G,18,34,2011
0,D,0,D,B,3,35,2011
0,D,0,D,E,13,36,2011
10698,H,236,H,,9,37,2011
0,D,0,D,E,27,39,2011
4058,H,0,S,B,9,40,2011
0,D,0,D,B,8,41,2011
38086,G,527,G,,18,42,2011
0,D,0,D,A,1,44,2011
0,D,0,D,C,6,45,2011
11581,H,0,S,C,11,47,2011
71021,H,0,S,F,53,48,2011
0,D,0,D,B,5,49,2011
0,D,0,D,B,2,50,2011
6949,H,0,S,C,11,51,2011
0,D,0,D,C,10,53,2011
0,D,0,D,C,10,54,2011
0,D,0,D,B,6,55,2011
0,D,0,D,C,4,56,2011
8270,H,0,S,C,15,1,2010
0,D,0,D,C,7,4,2010
0,D,0,D,B,2,5,2010
0,D,0,D,G,46,6,2010
0,D,0,D,C,6,8,2010
0,D,0,D,C,3,9,2010
0,D,0,D,B,2,10,2010
4167,G,0,S,B,12,12,2010
0,D,0,D,C,12,13,2010
0,D,0,D,C,7,16,2010
11192,H,0,S,C,15,17,2010
0,D,0,D,E,19,18,2010
0,D,0,D,B,8,19,2010
6146,H,0,S,C,9,20,2010
20923,H,324,H,,7,21,2010
77235,H,0,S,F,22,22,2010
0,D,0,D,B,2,23,2010
5774,H,88,H,,6,24,2010
0,D,0,D,B,8,25,2010
0,D,0,D,C,8,26,2010
0,D,0,D,C,8,27,2010
0,D,0,D,C,12,28,2010
0,D,0,D,B,5,29,2010
0,D,0,D,A,2,30,2010
0,D,0,D,C,9,31,2010
0,D,0,D,A,3,32,2010
0,D,0,D,B,1,33,2010
0,D,0,D,G,18,34,2010
0,D,0,D,B,4,35,2010
0,D,0,D,E,14,36,2010
0,D,0,D,C,9,37,2010
0,D,0,D,E,28,39,2010
3327,H,0,S,B,8,40,2010
0,D,0,D,B,9,41,2010
35237,G,509,G,,18,42,2010
0,D,0,D,A,1,44,2010
0,D,0,D,C,6,45,2010
11015,H,0,S,C,11,47,2010
70910,H,934,H,,57,48,2010
0,D,0,D,B,4,49,2010
0,D,0,D,B,2,50,2010
0,D,0,D,C,11,51,2010
0,D,0,D,C,14,53,2010
0,D,0,D,C,10,54,2010
0,D,0,D,B,7,55,2010
0,D,0,D,C,4,56,2010
16068,G,233,H,,16,1,2009
0,D,0,D,C,7,4,2009
0,D,0,D,B,2,5,2009
0,D,0,D,G,47,6,2009
0,D,0,D,C,5,8,2009
0,D,0,D,B,3,9,2009
0,D,0,D,B,3,10,2009
3894,G,63,H,,9,12,2009
11650,H,0,S,C,13,13,2009
0,D,0,D,A,1,15,2009
0,D,0,D,B,7,16,2009
10384,H,0,S,C,15,17,2009
0,D,0,D,E,17,18,2009
0,D,0,D,B,7,19,2009
6288,H,0,S,C,9,20,2009
21262,H,330,H,,8,21,2009
64814,H,0,S,F,18,22,2009
0,D,0,D,B,2,23,2009
6585,H,114,H,,6,24,2009
0,D,0,D,C,10,25,2009
0,D,0,D,C,8,26,2009
0,D,0,D,C,8,27,2009
0,D,0,D,C,13,28,2009
0,D,0,D,B,5,29,2009
0,D,0,D,A,2,30,2009
0,D,0,D,C,9,31,2009
594,H,0,S,A,3,32,2009
0,D,0,D,B,1,33,2009
0,D,0,D,G,19,34,2009
0,D,0,D,B,4,35,2009
0,D,0,D,E,14,36,2009
0,D,0,D,C,7,37,2009
